start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-03 0:00,2018-09-03 1:00,수동적 여가|컴퓨터 게임,집,서울시 노원구 상계동,실내,혼자,/,/,/,예,긍정,낮음,낮음,보통
2018-09-03 1:00,2018-09-03 1:13,기타|세면,집,서울시 노원구 상계동,실내,혼자,/,/,/,예,보통,낮음,낮음,보통
2018-09-03 1:13,2018-09-03 2:03,수동적 여가|웹서핑,집,서울시 노원구 상계동,실내,혼자,/,/,/,예,보통,낮음,낮음,보통
2018-09-03 2:03,2018-09-03 7:30,수면,집,서울시 노원구 상계동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-03 7:30,2018-09-03 7:50,기타|세면,집,서울시 노원구 상계동,실내,혼자,/,/,/,예,매우 부정,매우 높음,보통,보통
2018-09-03 7:50,2018-09-03 8:10,이동,대중교통|버스,서울시 노원구 상계동,실외,혼자,/,/,/,예,매우 부정,매우 높음,보통,보통
2018-09-03 8:10,2018-09-03 10:15,수면,학교|2-4,서울시 노원구 상계동,실내,혼자,/,/,/,예,매우 부정,매우 높음,보통,보통
2018-09-03 10:15,2018-09-03 10:40,공부|수업,학교|2-4,서울시 노원구 상계동,실내,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-03 10:40,2018-09-03 10:43,이동,야외,서울시 노원구 상계동,실외,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-03 10:43,2018-09-03 10:47,식사|간식,학교|매점,서울시 노원구 상계동,실내,혼자,기타|햄버거,보통,간식,예,긍정,높음,보통,보통
2018-09-03 10:47,2018-09-03 10:50,이동,야외,서울시 노원구 상계동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-03 10:50,2018-09-03 12:40,공부|수업,학교|2-4,서울시 노원구 상계동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-03 12:40,2018-09-03 12:43,이동,야외,서울시 노원구 상계동,실외,친밀한 사람|민철,/,/,/,예,보통,높음,높음,보통
