start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-12-19 0:00,2018-12-19 1:13,식사,집,서울시 은평구 녹번동,실내,혼자,한식|라면,매우 많음,야식,아니오,매우 긍정,낮음,매우 낮음,낮음
2018-12-19 1:13,2018-12-19 2:30,수동적 여가|애니시청,집,서울시 은평구 녹번동,실내,혼자,/,/,/,아니오,매우 긍정,매우 낮음,매우 낮음,낮음
2018-12-19 2:30,2018-12-19 3:18,기타|에브리타임,집,서울시 은평구 녹번동,실내,혼자,/,/,/,예,매우 부정,낮음,매우 낮음,낮음
2018-12-19 3:18,2018-12-19 4:07,수동적 여가|애니시청,집,서울시 은평구 녹번동,실내,혼자,/,/,/,예,긍정,매우 낮음,매우 낮음,낮음
2018-12-19 4:07,2018-12-19 4:30,수동적 여가|웹툰감상,집,서울시 은평구 녹번동,실내,혼자,/,/,/,예,매우 부정,낮음,매우 낮음,낮음
2018-12-19 4:30,2018-12-19 5:30,식사,집,서울시 은평구 녹번동,실내,혼자,중식|간짜장,많음,간식,아니오,긍정,낮음,매우 낮음,낮음
2018-12-19 5:30,2018-12-19 5:38,기타|흡연,야외,서울시 은평구 녹번동,실외,혼자,/,/,/,아니오,긍정,매우 낮음,매우 낮음,낮음
2018-12-19 5:38,2018-12-19 6:56,수동적 여가|유튜브감상,집,서울시 은평구 녹번동,실내,혼자,/,/,/,예,부정,높음,매우 낮음,낮음
2018-12-19 6:56,2018-12-19 13:17,수면,집,서울시 은평구 녹번동,실내,혼자,/,/,/,아니오,부정,낮음,낮음,보통
2018-12-19 13:17,2018-12-19 14:00,기타|샤워,집|화장실,서울시 은평구 녹번동,실내,혼자,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-12-19 14:00,2018-12-19 14:22,이동|걷기,야외,서울시 은평구 녹번동,실외,혼자,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-12-19 14:22,2018-12-19 14:55,이동,대중교통|버스,서울시 은평구 녹번동,실외,혼자,/,/,/,예,매우 부정,매우 높음,낮음,보통
2018-12-19 14:55,2018-12-19 15:20,식사,카페|한울샘,서울시 서대문구 신촌동,실내,혼자,기타|핫도그,적음,점심,아니오,긍정,낮음,낮음,보통
2018-12-19 15:20,2018-12-19 15:37,기타|흡연,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,긍정,매우 낮음,낮음,보통
2018-12-19 15:37,2018-12-19 15:45,이동|걷기,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,부정,낮음,낮음,보통
2018-12-19 15:45,2018-12-19 18:00,기타|기말고사,학교|백s301,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,부정,낮음,낮음,보통
2018-12-19 18:00,2018-12-19 18:10,이동|걷기,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,매우 부정,낮음,낮음,보통
2018-12-19 18:10,2018-12-19 18:30,식사,식당|학생회관,서울시 서대문구 신촌동,실내,혼자,양식|차돌박이로제파스타,많음,저녁,아니오,긍정,낮음,매우 낮음,낮음
2018-12-19 18:30,2018-12-19 18:38,기타|흡연,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,긍정,매우 낮음,매우 낮음,낮음
2018-12-19 18:38,2018-12-19 19:56,이동,대중교통|버스,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,부정,낮음,매우 낮음,낮음
2018-12-19 19:56,2018-12-19 20:21,이동|걷기,야외,서울시 은평구 녹번동,실외,혼자,/,/,/,예,부정,낮음,매우 낮음,낮음
2018-12-19 20:21,2018-12-19 20:50,수동적 여가|드라마시청,집,서울시 은평구 녹번동,실내,혼자,/,/,/,예,부정,낮음,매우 낮음,낮음
2018-12-19 20:50,2018-12-19 21:30,공부,집,서울시 은평구 녹번동,실내,혼자,/,/,/,예,매우 부정,낮음,매우 낮음,낮음
2018-12-19 21:30,2018-12-19 21:38,이동|걷기,야외,서울시 은평구 녹번동,실외,혼자,/,/,/,예,매우 부정,낮음,매우 낮음,낮음
2018-12-19 21:38,2018-12-19 21:48,식사,상점|편의점,서울시 은평구 녹번동,실내,혼자,한식|도시락,많음,간식,아니오,긍정,낮음,매우 낮음,낮음
2018-12-19 21:48,2018-12-19 21:57,기타|흡연,야외,서울시 은평구 녹번동,실외,혼자,/,/,/,아니오,긍정,매우 낮음,매우 낮음,낮음
2018-12-19 21:57,2018-12-19 22:06,이동|걷기,야외,서울시 은평구 녹번동,실외,혼자,/,/,/,아니오,부정,낮음,매우 낮음,낮음
2018-12-19 22:06,2018-12-19 23:03,공부,집,서울시 은평구 녹번동,실내,혼자,/,/,/,예,부정,낮음,매우 낮음,낮음
2018-12-19 23:03,2018-12-19 23:50,기타|피규어관리,집,서울시 은평구 녹번동,실내,혼자,/,/,/,예,매우 긍정,매우 낮음,매우 낮음,낮음
2018-12-19 23:50,2018-12-19 23:59,청소,집,서울시 은평구 녹번동,실내,혼자,/,/,/,예,매우 부정,낮음,매우 낮음,낮음
