start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-05-15 0:00,2018-05-15 5:00,수면,집,서울시 성동구 성수동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-05-15 5:00,2018-05-15 6:00,능동적 여가|골프,기타|골프연습장,서울시 성동구 성수동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-05-15 6:00,2018-05-15 6:25,기타|샤워,집|화장실,서울시 성동구 성수동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-05-15 6:25,2018-05-15 6:30,수동적 여가|음악감상,집|화장실,서울시 성동구 성수동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-05-15 6:30,2018-05-15 7:00,청소,집,서울시 성동구 성수동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,보통,보통
2018-05-15 7:00,2018-05-15 7:20,수동적 여가|뉴스시청,집,서울시 성동구 성수동,실내,혼자,/,/,/,예,긍정,매우 낮음,보통,보통
2018-05-15 7:20,2018-05-15 7:50,식사,집,서울시 성동구 성수동,실내,친밀한 관계|아들,한식|된장찌개,적음,아침,예,매우 긍정,매우 낮음,보통,보통
2018-05-15 7:50,2018-05-15 8:10,기타|화장,집,서울시 성동구 성수동,실내,혼자,/,/,/,아니오,매우 긍정,매우 낮음,보통,보통
2018-05-15 8:10,2018-05-15 8:15,기타|용변,집|화장실,서울시 성동구 성수동,실내,혼자,/,/,/,아니오,매우 긍정,매우 낮음,보통,보통
2018-05-15 8:15,2018-05-15 8:20,기타|인스타그램,집|화장실,서울시 성동구 성수동,실내,혼자,/,/,/,아니오,매우 긍정,매우 낮음,보통,보통
2018-05-15 8:20,2018-05-15 8:50,이동,기타|자가용,서울시 성동구 성수동,실외,친밀한 관계|아들,기타|사과,적음,간식,아니오,매우 긍정,낮음,보통,보통
2018-05-15 8:50,2018-05-15 9:10,이동,기타|자가용,서울시 성동구 성수동,실외,혼자,/,/,/,아니오,매우 긍정,낮음,보통,보통
2018-05-15 9:10,2018-05-15 9:20,기타|통화,기타|자가용,서울시 성동구 성수동,실외,친밀한 관계|엄마,/,/,/,아니오,매우 긍정,낮음,보통,보통
2018-05-15 9:20,2018-05-15 9:50,업무,사무실|개인,경기도 성남시 분당구,실내,혼자,/,/,/,아니오,매우 긍정,낮음,낮음,낮음
2018-05-15 9:50,2018-05-15 10:40,업무,사무실|회의실,경기도 성남시 분당구,실내,친밀한 관계|직원들,/,/,/,아니오,매우 긍정,낮음,낮음,낮음
2018-05-15 10:40,2018-05-15 11:30,업무,사무실|개인,경기도 성남시 분당구,실내,혼자,/,/,/,예,매우 긍정,높음,낮음,낮음
2018-05-15 11:30,2018-05-15 12:00,식사,식당|구내식당,경기도 성남시 분당구,실내,친밀한 관계|직원들,한식|설렁탕,적음,점심,예,긍정,높음,낮음,낮음
2018-05-15 12:00,2018-05-15 12:30,사교,카페|커피빈,경기도 성남시 분당구,실내,친밀한 관계|직원들,기타|커피,적음,간식,아니오,긍정,높음,보통,보통
2018-05-15 12:30,2018-05-15 13:00,수면,사무실|개인,경기도 성남시 분당구,실내,혼자,/,/,/,아니오,긍정,높음,낮음,낮음
2018-05-15 13:00,2018-05-15 13:10,수동적 여가|음악감상,사무실|개인,경기도 성남시 분당구,실내,혼자,/,/,/,아니오,긍정,높음,낮음,낮음
2018-05-15 13:10,2018-05-15 13:50,업무,사무실|개인,경기도 성남시 분당구,실내,혼자,/,/,/,아니오,보통,낮음,낮음,낮음
2018-05-15 13:50,2018-05-15 14:10,업무,사무실|회의실,경기도 성남시 분당구,실내,친밀한 관계|직원들,/,/,/,아니오,보통,낮음,낮음,낮음
2018-05-15 14:10,2018-05-15 14:40,업무,사무실|회의실,경기도 성남시 분당구,실내,친밀한 관계|직원들,/,/,/,아니오,부정,낮음,낮음,낮음
2018-05-15 14:40,2018-05-15 14:50,수동적 여가|음악감상,사무실|회의실,경기도 성남시 분당구,실내,혼자,/,/,/,아니오,부정,낮음,낮음,낮음
2018-05-15 14:50,2018-05-15 15:20,업무,사무실|개인,경기도 성남시 분당구,실내,혼자,/,/,/,아니오,보통,낮음,낮음,낮음
2018-05-15 15:20,2018-05-15 15:25,기타|버릇,사무실|개인,경기도 성남시 분당구,실내,혼자,/,/,/,아니오,보통,낮음,낮음,낮음
2018-05-15 15:25,2018-05-15 16:10,업무,사무실|회의실,경기도 성남시 분당구,실내,데면한 관계|고객들,/,/,/,아니오,보통,낮음,낮음,낮음
2018-05-15 16:10,2018-05-15 16:30,사교,사무실|접견실,경기도 성남시 분당구,실내,데면한 관계|고객들,기타|오렌지주스,적음,간식,아니오,긍정,낮음,낮음,낮음
2018-05-15 16:30,2018-05-15 17:00,업무,사무실|개인,경기도 성남시 분당구,실내,혼자,/,/,/,아니오,긍정,높음,낮음,낮음
2018-05-15 17:00,2018-05-15 17:30,업무,사무실|회의실,경기도 성남시 분당구,실내,친밀한 관계|직원들,/,/,/,예,긍정,높음,낮음,낮음
2018-05-15 17:30,2018-05-15 17:40,업무,사무실|개인,경기도 성남시 분당구,실내,혼자,/,/,/,예,긍정,높음,낮음,낮음
2018-05-15 17:40,2018-05-15 18:10,이동,기타|자가용,경기도 성남시 분당구,실외,혼자,/,/,/,예,보통,높음,보통,보통
