start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-10-05 0:00,2018-10-05 1:20,수동적 여가|유튜브시청,집,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-10-05 1:20,2018-10-05 4:30,수면,집,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-10-05 4:30,2018-10-05 5:10,수동적 여가|축구시청,집,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-10-05 5:10,2018-10-05 5:15,식사,집,경기도 연천군 전곡읍,실내,혼자,기타|과자,많음,간식,예,긍정,낮음,보통,보통
2018-10-05 5:15,2018-10-05 6:30,수동적 여가|축구시청,집,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-10-05 6:30,2018-10-05 8:10,수면,집,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-10-05 8:10,2018-10-05 8:30,기타|등교준비,집,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,보통,보통
2018-10-05 8:30,2018-10-05 9:00,이동|걷기,야외,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,낮음,높음
2018-10-05 9:00,2018-10-05 11:00,수면,학교|교실,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,보통,높음
2018-10-05 11:00,2018-10-05 11:50,공부|국어,학교|교실,경기도 연천군 전곡읍,실내,혼자,/,/,/,예,매우 부정,매우 높음,보통,높음
2018-10-05 11:50,2018-10-05 12:50,수면,학교|교실,경기도 연천군 전곡읍,실내,혼자,/,/,/,예,부정,높음,보통,높음
2018-10-05 12:50,2018-10-05 12:55,이동|걷기,학교|급식실,경기도 연천군 전곡읍,실내,친밀한 관계|친구들,/,/,/,예,긍정,낮음,보통,높음
2018-10-05 12:55,2018-10-05 13:07,식사,학교|급식실,경기도 연천군 전곡읍,실내,친밀한 관계|친구들,한식|임연수튀김,/,/,예,부정,매우 낮음,보통,높음
2018-10-05 13:07,2018-10-05 13:11,이동|걷기,학교|교실,경기도 연천군 전곡읍,실내,친밀한 관계|친구들,/,/,/,예,긍정,매우 낮음,보통,높음
2018-10-05 13:11,2018-10-05 13:40,사교|수다,학교|교실,경기도 연천군 전곡읍,실내,친밀한 관계|친구들,/,/,/,예,긍정,매우 낮음,보통,높음
2018-10-05 13:40,2018-10-05 14:30,수동적 여가|유튜브시청,학교|교실,경기도 연천군 전곡읍,실내,친밀한 관계|상혁,/,/,/,예,긍정,매우 낮음,보통,높음
2018-10-05 14:30,2018-10-05 14:40,사교|수다,학교|교실,경기도 연천군 전곡읍,실내,친밀한 관계|친구들,/,/,/,예,긍정,매우 낮음,보통,높음
2018-10-05 14:40,2018-10-05 16:30,수동적 여가|유튜브시청,학교|교실,경기도 연천군 전곡읍,실내,혼자,/,/,/,예,긍정,매우 낮음,보통,높음
2018-10-05 16:30,2018-10-05 16:42,청소,학교|교실,경기도 연천군 전곡읍,실내,혼자,/,/,/,예,긍정,매우 낮음,보통,보통
2018-10-05 16:42,2018-10-05 17:07,이동|걷기,야외,경기도 연천군 전곡읍,실외,친밀한 관계|준영,/,/,/,예,긍정,매우 낮음,낮음,보통
2018-10-05 17:07,2018-10-05 18:08,능동적 여가|노래,기타|노래방,경기도 연천군 전곡읍,실내,친밀한 관계|준영,/,/,/,예,긍정,매우 낮음,보통,보통
2018-10-05 18:08,2018-10-05 18:13,이동|걷기,야외,경기도 연천군 전곡읍,실외,친밀한 관계|준영,/,/,/,예,긍정,낮음,낮음,보통
2018-10-05 18:13,2018-10-05 18:40,식사,식당|맘스터치,경기도 연천군 전곡읍,실내,친밀한 관계|준영,양식|햄버거,적음,간식,예,긍정,낮음,보통,보통
2018-10-05 18:40,2018-10-05 18:50,이동|걷기,야외,경기도 연천군 전곡읍,실외,혼자,/,/,/,아니오,긍정,낮음,낮음,보통
2018-10-05 18:50,2018-10-05 19:30,능동적 여가|당구,기타|당구장,경기도 연천군 전곡읍,실내,친밀한 관계|유람,/,/,/,아니오,긍정,낮음,보통,보통
2018-10-05 19:30,2018-10-05 19:50,이동|걷기,야외,경기도 연천군 전곡읍,실외,혼자,/,/,/,예,긍정,높음,낮음,보통
2018-10-05 19:50,2018-10-05 20:20,기타|샤워,집|화장실,경기도 연천군 전곡읍,실내,혼자,/,/,/,예,긍정,높음,보통,보통
2018-10-05 20:20,2018-10-05 20:40,식사,집,경기도 연천군 전곡읍,실내,친밀한 관계|가족,한식|치킨,많음,저녁,예,긍정,높음,보통,보통
2018-10-05 20:40,2018-10-05 21:40,수동적 여가|유튜브시청,집,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-10-05 21:40,2018-10-05 22:00,이동|걷기,야외,경기도 연천군 전곡읍,실외,혼자,/,/,/,아니오,부정,높음 ,낮음,보통
2018-10-05 22:00,2018-10-05 0:00,업무|아르바이트,식당|편의점,경기도 연천군 전곡읍,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
