start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-04-03 0:00,2018-04-03 7:00,수면,기타|숙소,서울시 노원구 공릉동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,높음
2018-04-03 7:00,2018-04-03 7:20,이동,야외,서울시 노원구 공릉동,실외,친밀한 사람|소영,/,/,/,예,부정,낮음,보통,높음
2018-04-03 7:20,2018-04-03 7:45,식사,카페,서울시 노원구 공릉동,실내,친밀한 사람|소영,기타|머핀,많음,아침,예,부정,낮음,보통,높음
2018-04-03 7:45,2018-04-03 8:00,이동,야외,서울시 노원구 공릉동,실외,친밀한 사람|소영,/,/,/,아니오,부정,매우 낮음,보통,높음
2018-04-03 8:00,2018-04-03 9:50,기타|근력 운동,기타|체육관,서울시 노원구 공릉동,실내,친밀한 사람|관수,/,/,/,아니오,보통,매우 낮음,보통,높음
2018-04-03 9:50,2018-04-03 10:05,이동,야외,서울시 노원구 공릉동,실외,친밀한 사람|윤호,/,/,/,아니오,긍정,낮음,보통,높음
2018-04-03 10:05,2018-04-03 10:20,식사,상점|편의점,서울시 노원구 공릉동,실내,친밀한 사람|윤호,기타|라면,매우 많음,간식,아니오,긍정,낮음,보통,높음
2018-04-03 10:20,2018-04-03 10:30,이동,야외,서울시 노원구 공릉동,실외,친밀한 사람|윤호,/,/,/,아니오,부정,낮음,보통,높음
2018-04-03 10:30,2018-04-03 11:30,능동적 여가|독서,기타|숙소,서울시 노원구 공릉동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,높음
2018-04-03 11:30,2018-04-03 0:00,능동적 여가|핸드폰 게임,기타|숙소,서울시 노원구 공릉동,실내,친밀한 사람|상우,/,/,/,아니오,긍정,낮음,보통,높음
2018-04-03 0:00,2018-04-03 12:10,이동,야외,서울시 노원구 공릉동,실외,친밀한 사람|상우,/,/,/,아니오,긍정,높음,보통,높음
2018-04-03 12:10,2018-04-03 12:15,식사,식당,서울시 노원구 공릉동,실내,친밀한 사람|상우,한식|부대찌개,매우 많음,점심,아니오,매우 긍정,높음,보통,높음
2018-04-03 12:15,2018-04-03 12:25,이동,야외,서울시 노원구 공릉동,실외,친밀한 사람|상우,/,/,/,아니오,부정,높음,보통,높음
2018-04-03 12:25,2018-04-03 13:00:00 PM,수면,기타|숙소,서울시 노원구 공릉동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-04-03 13:00:00 PM,2018-04-03 13:20:00 PM,이동,야외,서울시 노원구 공릉동,실외,친밀한 사람|상우,/,/,/,아니오,긍정,매우 낮음,보통,보통
2018-04-03 13:20:00 PM,2018-04-03 17:10:00 PM,기타|수영 연습,기타|수영장,서울시 노원구 공릉동,실내,혼자,/,/,/,아니오,보통,낮음,보통,높음
2018-04-03 17:10:00 PM,2018-04-03 17:15:00 PM,이동,야외,서울시 노원구 공릉동,실외,친밀한 사람|상우,/,/,/,아니오,보통,낮음,보통,보통
2018-04-03 17:15:00 PM,2018-04-03 18:10:00 PM,기타|근력 운동,기타|체육관,서울시 노원구 공릉동,실내,친밀한 사람|관수,/,/,/,아니오,보통,낮음,보통,보통
2018-04-03 18:10:00 PM,2018-04-03 18:50:00 PM,이동,대중교통|버스,서울시 노원구 공릉동,실외,혼자,/,/,/,예,긍정,높음,보통,보통
2018-04-03 18:50:00 PM,2018-04-03 19:00:00 PM,기타|기다림,야외,서울시 광진구 구의동,실외,혼자,/,/,/,예,긍정,높음,보통,보통
