start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-11 0:00,2018-09-11 1:00,공부|과제,집,서울시 마포구 노고산동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-11 1:00,2018-09-11 2:00,수동적 여가,집,서울시 마포구 노고산동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,보통,보통
2018-09-11 2:00,2018-09-11 7:40,수면,집,서울시 마포구 노고산동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,보통,보통
2018-09-11 7:40,2018-09-11 8:00,기타|씻기,집,서울시 마포구 노고산동,실내,혼자,/,/,/,예,부정,매우높음,보통,높음
2018-09-11 8:00,2018-09-11 8:30,기타|나갈준비,집,서울시 마포구 노고산동,실내,혼자,/,/,/,예,부정,매우 높음,보통,보통
2018-09-11 8:30,2018-09-11 8:35,이동,야외,서울시 마포구 노고산동,실외,혼자,/,/,/,예,부정,매우 높음,보통,보통
2018-09-11 8:35,2018-09-11 8:45,이동,야외,서울시 서대문구 창천동,실외,혼자,/,/,/,예,부정,매우 높음,보통,보통
2018-09-11 8:45,2018-09-11 8:55,이동,학교,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,부정,매우 높음,보통,보통
2018-09-11 8:55,2018-09-11 9:00,식사,카페|교과관,서울시 서대문구 신촌동,실내,혼자,기타|샌드위치,보통,아침,예,부정,매우 높음,보통,보통
2018-09-11 9:00,2018-09-11 9:50,공부|수업,학교|교과관,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,부정,매우 높음,보통,보통
2018-09-11 9:50,2018-09-11 9:55,식사,카페|교과관,서울시 서대문구 신촌동,실내,혼자,기타|주스,많음,간식,예,부정,매우 높음,보통,보통
2018-09-11 9:55,2018-09-11 10:00,이동,학교,서울시 서대문구 신촌동,실외,친밀한 관계|수빈,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-11 10:00,2018-09-11 10:50,공부|수업,학교|대강당,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-11 10:50,2018-09-11 11:00,이동,학교,서울시 서대문구 신촌동,실내,친밀한 관계|수빈,/,/,/,예,보통,높음,보통,보통
2018-09-11 11:00,2018-09-11 11:30,식사,식당|고를샘,서울시 서대문구 신촌동,실내,친밀한 관계|수빈,양식,많음,점심,예,긍정,높음,보통,보통
2018-09-11 11:30,2018-09-11 11:40,이동,학교,서울시 서대문구 신촌동,실외,친밀한 관계|수빈,/,/,/,아니오,부정,높음,보통,보통
2018-09-11 11:40,2018-09-11 12:45,공부,중앙도서관,서울시 서대문구 신촌동,실내,친밀한 관계|수빈,/,/,/,아니오,부정,높음,보통,보통
2018-09-11 12:45,2018-09-11 12:55,이동,학교,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-11 12:55,2018-09-11 13:00,식사,카페|교과관,서울시 서대문구 신촌동,실내,혼자,기타|주스,많음,간식,예,긍정,높음,보통,보통
2018-09-11 13:00,2018-09-11 13:50,공부|수업,학교|교과관,서울시 서대문구 신촌동,실내,친밀한 관계|승연,/,/,/,아니오,보통,높음,보통,보통
2018-09-11 13:50,2018-09-11 14:00,사교,학교,서울시 서대문구 신촌동,실내,친밀한 관계|승연,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-11 14:00,2018-09-11 14:50,공부|수업,학교|교과관,서울시 서대문구 신촌동,실내,친밀한 관계|승연,/,/,/,예,보통,높음,보통,보통
2018-09-11 14:50,2018-09-11 15:00,이동,학교,서울시 서대문구 신촌동,실외,친밀한 관계|승연,/,/,/,예,보통,낮음,보통,보통
2018-09-11 15:00,2018-09-11 15:20,식사,식당|한울샘,서울시 서대문구 신촌동,실내,혼자,한식|라면,보통,간식,예,긍정,낮음,보통,보통
2018-09-11 15:20,2018-09-11 15:50,공부,학교|공D,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-11 15:50,2018-09-11 15:51,이동,학교,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-11 15:51,2018-09-11 15:55,기타,상점|한울샘,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-11 15:55,2018-09-11 16:00,이동,학교,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
