start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-23 00:00,2018-09-23 00:49,수동적 여가|유튜브,기타|호텔,실내,강원도 춘천시 삼천동,친밀한 관계,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-09-23 00:49,2018-09-23 01:40,기타|수면준비,기타|호텔,실내,강원도 춘천시 삼천동,친밀한 관계,/,/,/,아니오,매우 부정,매우 높음,낮음,보통
2018-09-23 01:40,2018-09-23 02:35,수동적 여가|웹서핑,기타|호텔,실내,강원도 춘천시 삼천동,친밀한 관계,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-09-23 02:35,2018-09-23 04:58,수동적 여가|TV시청,기타|호텔,실내,강원도 춘천시 삼천동,친밀한 관계,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-09-23 04:58,2018-09-23 08:00,수면,기타|호텔,실내,강원도 춘천시 삼천동,친밀한 관계,/,/,/,아니오,보통,높음,낮음,보통
2018-09-23 08:00,2018-09-23 08:23,기타|가려워서깸,기타|호텔,실내,강원도 춘천시 삼천동,친밀한 관계,/,/,/,예,매우 부정,매우 높음,낮음,보통
2018-09-23 08:23,2018-09-23 09:01,기타|샤워,기타|호텔,실내,강원도 춘천시 삼천동,친밀한 관계,/,/,/,예,매우 부정,매우 높음,낮음,보통
2018-09-23 09:01,2018-09-23 09:10,기타|팔굽혀펴기,기타|호텔,실내,강원도 춘천시 삼천동,친밀한 관계,/,/,/,예,부정,매우 높음,낮음,보통
2018-09-23 09:10,2018-09-23 09:45,이동,대중교통|택시,실외,강원도 춘천시 삼천동,친밀한 관계,/,/,/,예,매우 부정,매우 높음,보통,보통
2018-09-23 09:45,2018-09-23 10:48,식사,식당,실내,강원도 춘천시 약사명동,친밀한 관계,한식,매우 많음,아침,예,보통,매우 높음,보통,보통
2018-09-23 10:48,2018-09-23 12:50,수동적 여가|영화감상,기타|영화관,실내,강원도 춘천시 약사명동,친밀한 관계,/,/,/,아니오,보통,높음,보통,보통
2018-09-23 12:50,2018-09-23 13:45,식사,카페,실내,강원도 춘천시 약사명동,친밀한 관계,기타,많음,간식,아니오,긍정,높음,높음,보통
2018-09-23 13:45,2018-09-23 16:00,수동적 여가|영화감상,기타|영화관,실내,강원도 춘천시 약사명동,친밀한 관계,/,/,/,아니오,보통,매우 높음,높음,보통
2018-09-23 16:00,2018-09-23 16:34,이동,대중교통,실외,강원도 춘천시 약사명동,친밀한 관계,/,/,/,아니오,보통,높음,보통,보통
2018-09-23 16:34,2018-09-23 17:30,기타|열차대기,기타|기차역,실내,강원도 춘천시 근화동,친밀한 관계,/,/,/,아니오,보통,낮음,보통,보통
2018-09-23 17:30,2018-09-23 19:35,이동,기타|기차,실외,강원도 춘천시 근화동,친밀한 관계,/,/,/,아니오,부정,낮음,보통,보통
2018-09-23 19:35,2018-09-23 20:04,수면,집,실내,서울시 구로구 구로1동,혼자,/,/,/,아니오,긍정,높음,보통,높음
2018-09-23 20:04,2018-09-23 20:32,수동적 여가|웹서핑,집,실내,서울시 구로구 구로1동,혼자,/,/,/,예,보통,낮음,보통,높음
2018-09-23 20:32,2018-09-23 20:59,공부|과제,집,실내,서울시 구로구 구로1동,혼자,/,/,/,예,보통,높음,보통,높음
2018-09-23 20:59,2018-09-23 21:25,청소,집,실내,서울시 구로구 구로1동,혼자,/,/,/,예,부정,매우 높음,보통,높음
2018-09-23 21:25,2018-09-23 21:30,이동,야외,실외,서울시 구로구 구로1동,혼자,/,/,/,예,보통,높음,보통,높음
2018-09-23 21:30,2018-09-23 22:05,야외활동|자전거,공원,실외,서울시 구로구 구로1동,혼자,/,/,/,예,보통,높음,보통,높음
2018-09-23 22:05,2018-09-23 22:09,이동,야외,실외,서울시 구로구 구로1동,혼자,/,/,/,예,보통,높음,보통,높음
2018-09-23 22:09,2018-09-23 22:41,식사,집,실내,서울시 구로구 구로1동,혼자,한식,매우 많음,저녁,예,긍정,매우 높음,보통,높음
2018-09-23 22:41,2018-09-23 23:02,수동적 여가|TV시청,집,실내,서울시 구로구 구로1동,혼자,/,/,/,아니오,보통,매우 높음,보통,높음
2018-09-23 23:02,2018-09-23 23:10,기타|스트레칭,집,실내,서울시 구로구 구로1동,혼자,/,/,/,아니오,보통,매우 높음,보통,높음
2018-09-23 23:10,2018-09-23 23:21,기타|팔굽혀펴기,집,실내,서울시 구로구 구로1동,혼자,/,/,/,아니오,보통,매우 높음,보통,높음
2018-09-23 23:21,2018-09-23 23:41,공부,집,실내,서울시 구로구 구로1동,혼자,/,/,/,아니오,보통,매우 높음,낮음,높음
2018-09-23 23:41,2018-09-23 23:51,사교|카톡,집,실내,서울시 구로구 구로1동,친밀한 관계,/,/,/,아니오,보통,매우 높음,낮음,높음
2018-09-23 23:51,2018-09-23 23:59,기타|수면준비,집,실내,서울시 구로구 구로1동,혼자,/,/,/,아니오,부정,매우 높음,낮음,높음
