start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-24 00:00,2018-09-04 07:00,수면,집,서울시 동작구 상도동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-24 07:00,2018-09-04 07:20,기타|씻기,집,서울시 동작구 상도동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-24 07:20,2018-09-24 07:40,식사,집,서울시 동작구 상도동,실내,혼자,기타|시리얼,적음,아침,아니오,보통,낮음,보통,보통
2018-09-24 07:40,2018-09-24 09:00,이동|등교,대중교통|버스,서울시 동작구 상도동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-24 09:00,2018-09-24 09:50,업무|수업,학교,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-24 09:50,2018-09-24 10:03,사교|카카오톡,학교,서울시 서대문구 신촌동,실내,친밀한 관계|김동성,/,/,/,아니오,매우 긍정,낮음,보통,보통
2018-09-24 10:03,2018-09-24 11:00,업무|영화의 이해 수업,학교,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,부정,낮음,보통,보통
2018-09-24 11:00,2018-09-24 11:15,이동|건물간 이동,학교,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-24 11:15,2018-09-24 11:33,식사|편의점,학교,서울시 서대문구 신촌동,실내,혼자,한식|편의점 도시락,적음,점심,아니오,부정,낮음,보통,보통
2018-09-24 11:33,2018-09-24 12:45,능동적 여가|하스스톤,학교,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-24 12:45,2018-09-24 13:05,이동|건물간 이동,학교,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-24 13:05,2018-09-24 13:45,업무|디지털 논리 회로 수업,학교,서울시 서대문구 신촌동,실내,친밀한 관계|강성민,/,/,/,아니오,부정,낮음,보통,보통
2018-09-24 13:45,2018-09-24 13:50,이동|매점,학교,서울시 서대문구 신촌동,실내,친밀한 관계|강성민,/,/,/,예,긍정,낮음,보통,보통
2018-09-24 13:50,2018-09-24 13:57,식사,학교,서울시 서대문구 신촌동,실내,친밀한 관계|강성민,기타|음료수,적음,간식,예,긍정,낮음,보통,보통
2018-09-24 13:57,2018-09-24 14:00,이동|강의실,학교,서울시 서대문구 신촌동,실내,친밀한 관계|강성민,/,/,/,예,긍정,낮음,보통,보통
2018-09-24 14:00,2018-09-24 14:50,업무|디지털 논리 회로 수업,학교,서울시 서대문구 신촌동,실내,친밀한 관계|강성민,/,/,/,예,부정,낮음,보통,보통
2018-09-24 14:50,2018-09-24 15:00,업무|수업 질문,학교,서울시 서대문구 신촌동,실내,데면한 관계|교수님,/,/,/,예,보통,낮음,보통,보통
2018-09-24 15:00,2018-09-24 15:10,사교|동기와 잡담,학교,서울시 서대문구 신촌동,실내,친밀한 관계|강성민,/,/,/,예,보통,낮음,보통,보통
2018-09-24 15:10,2018-09-24 16:30,이동|하교,대중교통|버스,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-24 16:30,2018-09-24 17:50,공부|복습,집,서울시 동작구 상도동,실내,혼자,/,/,/,예,부정,낮음,보통,보통
2018-09-24 17:50,2018-09-24 18:17,식사,집,서울시 동작구 상도동,실내,혼자,양식|돈가스,적음,저녁,아니오,긍정,낮음,보통,보통
2018-09-24 18:17,2018-09-24 19:24,능동적 여가|트위치 인터넷 방송,집,서울시 동작구 상도동,실내,혼자,/,/,/,아니오,매우 긍정,낮음,보통,보통
2018-09-24 19:24,2018-09-24 20:10,여가|오버워치,집,서울시 동작구 상도동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-24 20:10,2018-09-24 20:41,공부|책 읽기,집,서울시 동작구 상도동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-24 20:41,2018-09-24 21:10,사교|카카오톡,집,서울시 동작구 상도동,실내,친밀한 관계|김동성,/,/,/,아니오,보통,낮음,보통,보통
2018-09-24 21:10,2018-09-24 21:20,사교|전화,집,서울시 동작구 상도동,실내,친밀한 관계|부모님,/,/,/,아니오,보통,낮음,보통,보통
2018-09-24 21:20,2018-09-24 21:40,청소,집,서울시 동작구 상도동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-24 21:40,2018-09-24 21:53,사교|에브리타임,집,서울시 동작구 상도동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-09-24 21:53,2018-09-24 21:57,사교|카카오톡,집,서울시 동작구 상도동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-09-24 21:57,2018-09-24 22:00,사교|에브리타임,집,서울시 동작구 상도동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-09-24 22:00,2018-09-24 22:07,기타|인터넷 쇼핑,집,서울시 동작구 상도동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-09-24 22:07,2018-09-24 22:20,여가|트위치 인터넷 방송,집,서울시 동작구 상도동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-09-24 22:20,2018-09-25 00:00,수면,집,서울시 동작구 상도동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
