start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-14 00:00,2018-09-14 06:00,수면,집,서울시 도봉구 창2동,실내,혼자,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-14 06:00,2018-09-14 06:58,능동적 여가|조깅,공원,서울시 도봉구 창2동,실외,혼자,/,/,/,예,보통,낮음,보통,낮음
2018-09-14 06:58,2018-09-14 07:27,식사,집,서울시 도봉구 창2동,실내,혼자,기타|샐러드,매우 적음,아침,예,긍정,낮음,보통,낮음
2018-09-14 07:27,2018-09-14 08:31,이동,대중교통|지하철,서울시 도봉구 창2동,실외,혼자,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-14 08:31,2018-09-14 09:25,업무,사무실,서울시 종로구 종로동,실내,데면한 관계|진호,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-14 09:25,2018-09-14 10:20,업무,사무실,서울시 종로구 종로동,실내,데면한 관계|진호,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-14 10:20,2018-09-14 10:24,이동,야외,서울시 종로구 종로동,실외,혼자,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-14 10:24,2018-09-14 10:36,능동적 여가|스트레칭,야외,서울시 종로구 종로동,실외,혼자,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-14 10:36,2018-09-14 10:40,이동,야외,서울시 종로구 종로동,실외,혼자,/,/,/,아니오,긍정,낮음,보통,낮음
2018-09-14 10:40,2018-09-14 11:11,업무,사무실,서울시 종로구 종로동,실내,데면한 관계|진호,/,/,/,아니오,긍정,낮음,보통,낮음
2018-09-14 11:11,2018-09-14 11:58,업무,사무실,서울시 종로구 종로동,실내,데면한 관계|진호,/,/,/,예,보통,낮음,보통,낮음
2018-09-14 11:58,2018-09-14 12:07,이동,야외,서울시 종로구 종로동,실외,혼자,/,/,/,예,보통,보통,보통,낮음
2018-09-14 12:07,2018-09-14 12:57,식사,식당,서울시 종로구 종로동,실내,혼자,한식|설렁탕,보통,점심,예,보통,보통,보통,낮음
2018-09-14 12:57,2018-09-14 13:06,이동,야외,서울시 종로구 종로동,실외,혼자,/,/,/,아니오,보통,보통,보통,낮음
2018-09-14 13:06,2018-09-14 14:11,업무,사무실,서울시 종로구 종로동,실내,데면한 관계|진호,/,/,/,아니오,보통,보통,보통,낮음
2018-09-14 14:11,2018-09-14 14:15,이동,야외,서울시 종로구 종로동,실외,혼자,/,/,/,아니오,보통,보통,보통,낮음
2018-09-14 14:15,2018-09-14 14:27,식사,카페,서울시 종로구 종로동,실외,혼자,기타|커피,매우 적음,간식,아니오,보통,보통,보통,낮음
2018-09-14 14:27,2018-09-14 14:33,이동,야외,서울시 종로구 종로동,실외,혼자,/,/,/,아니오,보통,보통,보통,낮음
2018-09-14 14:33,2018-09-14 16:00,업무,사무실,서울시 종로구 종로동,실내,데면한 관계|진호,/,/,/,아니오,보통,보통,보통,낮음
2018-09-14 16:00,2018-09-14 16:51,업무,사무실,서울시 종로구 종로동,실내,데면한 관계|요환,/,/,/,아니오,부정,높음,보통,낮음
2018-09-14 16:51,2018-09-14 17:59,업무,사무실,서울시 종로구 종로동,실내,데면한 관계|진호,/,/,/,예,부정,높음,보통,낮음
2018-09-14 17:59,2018-09-14 19:11,이동,대중교통|지하철,서울시 종로구 종로동,실외,혼자,/,/,/,예,부정,높음,보통,낮음
2018-09-14 19:11,2018-09-14 19:32,식사,집,서울시 도봉구 창2동,실내,혼자,한식|백반,보통,저녁,예,보통,높음,보통,낮음
2018-09-14 19:32,2018-09-14 21:11,능동적 여가|운동,공원,서울시 도봉구 창2동,실외,혼자,/,/,/,아니오,보통,높음,보통,낮음
2018-09-14 21:11,2018-09-14 22:15,수동적 여가|핸드폰,집,서울시 도봉구 창2동,실내,혼자,/,/,/,아니오,긍정,매우 높음,보통,낮음
2018-09-14 22:15,2018-09-14 23:59,수면,집,서울시 도봉구 창2동,실내,혼자,/,/,/,아니오,긍정,매우 높음,보통,낮음
