start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-11-15 0:00,2018-11-15 6:20,수면,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-11-15 6:20,2018-11-15 6:50,기타|세면,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,예,보통,낮음,낮음,보통
2018-11-15 6:50,2018-11-15 7:20,식사,집,용인시 기흥구 신갈동,실내,혼자,기타|빵,적음,아침,예,보통,낮음,낮음,보통
2018-11-15 7:20,2018-11-15 7:50,기타,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-11-15 7:50,2018-11-15 8:30,이동,대중교통|지하철,용인시 기흥구 신갈동,실외,혼자,/,/,/,아니오,보통,낮음,매우 낮음,높음
2018-11-15 8:30,2018-11-15 9:00,기타,사무실,성남시 분당구 정자동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-11-15 9:00,2018-11-15 10:00,업무,사무실,성남시 분당구 정자동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-11-15 10:00,2018-11-15 10:20,기타,사무실,성남시 분당구 정자동,실내,데면한 관계|박상사,/,/,/,아니오,보통,낮음,보통,보통
2018-11-15 10:20,2018-11-15 10:30,이동,기타|승용차,성남시 분당구 정자동,실외,데면한 관계|박상사,/,/,/,아니오,보통,낮음,보통,보통
2018-11-15 10:30,2018-11-15 10:50,기타,카페,성남시 분당구 수내동,실내,데면한 관계|박상사,기타|커피,매우 적음,간식,아니오,보통,낮음,보통,보통
2018-11-15 10:50,2018-11-15 12:00,이동,기타|승용차,성남시 분당구 수내동,실외,데면한 관계|박상사,/,/,/,예,보통,낮음,보통,보통
2018-11-15 12:00,2018-11-15 13:20,식사,식당|양식당,서울시 서초구 양재동,실내,데면한 관계|박상사,양식|리조토,많음,점심,예,보통,낮음,보통,보통
2018-11-15 13:20,2018-11-15 13:40,이동,기타|승용차,서울시 서초구 양재동,실외,데면한 관계|박상사,/,/,/,아니오,보통,낮음,보통,보통
2018-11-15 13:40,2018-11-15 14:00,기타|휴식,사무실|협력업체,서울시 서초구 양재동,실내,데면한 관계|박상사,기타|차,매우 적음,간식,아니오,보통,낮음,보통,보통
2018-11-15 14:00,2018-11-15 15:30,업무,사무실|협력업체,서울시 서초구 양재동,실내,데면한 관계|박상사,/,/,/,아니오,부정,낮음,보통,보통
2018-11-15 15:30,2018-11-15 15:50,기타|휴식,사무실|협력업체,서울시 서초구 양재동,실내,데면한 관계|박상사,/,/,/,아니오,보통,낮음,보통,보통
2018-11-15 15:50,2018-11-15 16:50,업무,사무실|협력업체,서울시 서초구 양재동,실내,데면한 관계|박상사,/,/,/,아니오,부정,낮음,보통,보통
2018-11-15 16:50,2018-11-15 18:30,이동,기타|승용차,서울시 서초구 양재동,실외,데면한 관계|박상사,/,/,/,예,보통,높음,보통,보통
2018-11-15 18:30,2018-11-15 18:50,기타|휴식,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-11-15 18:50,2018-11-15 19:30,식사,집,용인시 기흥구 신갈동,실내,혼자,한식|불고기,적음,저녁,예,보통,높음,낮음,보통
2018-11-15 19:30,2018-11-15 19:50,기타,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통
2018-11-15 19:50,2018-11-15 20:50,공부,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통
2018-11-15 20:50,2018-11-15 21:50,수동적 여가|컴퓨터,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통
2018-11-15 21:50,2018-11-15 22:30,수동적 여가|스마트폰,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통
2018-11-15 22:30,2018-11-15 22:35,이동,야외,용인시 기흥구 신갈동,실외,혼자,/,/,/,예,보통,높음,매우 낮음,보통
2018-11-15 22:35,2018-11-15 22:40,기타,상점|편의점,용인시 기흥구 신갈동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-11-15 22:40,2018-11-15 22:45,이동,야외,용인시 기흥구 신갈동,실외,혼자,/,/,/,예,보통,높음,매우 낮음,보통
2018-11-15 22:45,2018-11-15 23:20,식사,집,용인시 기흥구 신갈동,실내,혼자,기타|감자,매우 적음,간식,예,보통,높음,낮음,보통
2018-11-15 23:20,2018-11-15 23:40,기타|세면,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-11-15 23:40,2018-11-15 23:59,수동적 여가|스마트폰,집,용인시 기흥구 신갈동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통
