start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-08-29 0:00,2018-08-29 6:30,수면,집,부산시 사상구 주례동,실내,혼자,/,/,/,예,보통,보통,보통,높음
2018-08-29 6:30,2018-08-29 6:50,기타|씻기,집,부산시 사상구 주례동,실내,혼자,/,/,/,예,보통,보통,보통,높음
2018-08-29 6:50,2018-08-29 7:10,기타|외출 준비,집,부산시 사상구 주례동,실내,혼자,/,/,/,예,보통,보통,보통,높음
2018-08-29 7:10,2018-08-29 7:30,식사,집,부산시 사상구 주례동,실내,친밀한 관계|가족,기타|다이어트 식단,적음,아침,아니오,보통,보통,보통,높음
2018-08-29 7:30,2018-08-29 7:35,기타|씻기,집,부산시 사상구 주례동,실내,혼자,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 7:35,2018-08-29 7:40,이동|도보,야외,부산시 사상구 주례동,실외,혼자,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 7:40,2018-08-29 8:40,이동|자동차,야외,부산시 사상구 주례동,실외,혼자,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 8:40,2018-08-29 9:50,업무,사무실,부산시 해운대구 우동,실내,친밀한 관계|회사 동료,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 9:50,2018-08-29 10:00,기타|외근 준비,사무실,부산시 해운대구 우동,실내,혼자,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 10:00,2018-08-29 10:20,이동|자동차,야외,부산시 부산진구 부암동,실외,혼자,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 10:20,2018-08-29 11:00,업무,사무실,부산시 부산진구 부암동,실내,데면한 관계|대리점 직원,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 11:00,2018-08-29 11:05,이동|도보,야외,부산시 부산진구 부암동,실외,혼자,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 11:05,2018-08-29 11:20,기타|휴식,야외,부산시 부산진구 부암동,실외,혼자,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 11:20,2018-08-29 11:40,이동|자동차,야외,부산시 부산진구 부암동,실외,혼자,/,/,/,예,보통,보통,높음,높음
2018-08-29 11:40,2018-08-29 12:00,식사,식당,부산시 부산진구 부암동,실내,혼자,한식,보통,점심,아니오,보통,보통,높음,높음
2018-08-29 12:00,2018-08-29 12:30,이동|자동차,야외,부산시 부산진구 부암동,실외,혼자,/,/,/,아니오,보통,보통,높음,높음
2018-08-29 12:30,2018-08-29 13:30,업무,사무실,부산시 사상구 엄궁동,실내,친밀한 관계|거래처 직원,/,/,/,아니오,긍정,높음,매우높음,높음
2018-08-29 13:30,2018-08-29 14:00,이동|자동차,야외,부산시 사상구 엄궁동,실외,혼자,/,/,/,아니오,긍정,높음,매우높음,높음
2018-08-29 14:00,2018-08-29 14:40,업무,사무실,부산시 사상구 개금동,실내,친밀한 관계|거래처 직원,/,/,/,아니오,긍정,높음,매우높음,높음
2018-08-29 14:40,2018-08-29 15:00,이동|자동차,야외,부산시 사상구 개금동,실외,혼자,/,/,/,아니오,긍정,높음,매우높음,높음
2018-08-29 15:00,2018-08-29 15:40,업무,사무실,부산시 사상구 개금동,실내,데면한 관계|거래처 직원,/,/,/,아니오,긍정,높음,매우높음,높음
2018-08-29 15:40,2018-08-29 16:00,이동|자동차,야외,부산시 사상구 개금동,실외,혼자,/,/,/,아니오,긍정,높음,높음,높음
2018-08-29 16:00,2018-08-29 16:50,업무,사무실,부산시 사상구 개금동,실내,친밀한 관계|거래처 직원,/,/,/,아니오,보통,높음,높음,높음
2018-08-29 16:50,2018-08-29 17:20,이동|자동차,야외,부산시 사상구 주례동,실외,혼자,/,/,/,아니오,보통,높음,높음,높음
2018-08-29 17:20,2018-08-29 17:30,기타|외출 준비,집,부산시 사상구 주례동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음
2018-08-29 17:30,2018-08-29 17:40,이동|도보,야외,부산시 사상구 주례동,실외,혼자,/,/,/,아니오,보통,높음,높음,높음
2018-08-29 17:40,2018-08-29 18:50,능동적 여가|헬스,기타|헬스장,부산시 사상구 주례동,실내,혼자,/,/,/,예,긍정,매우 높음,높음,높음
2018-08-29 18:50,2018-08-29 19:00,이동|도보,야외,부산시 사상구 주례동,실외,혼자,/,/,/,예,긍정,매우 높음,높음,높음
2018-08-29 19:00,2018-08-29 19:30,식사,집,부산시 사상구 주례동,실내,친밀한 관계|가족,기타|다이어트 식단,보통,저녁,아니오,긍정,매우 높음,높음,높음
2018-08-29 19:30,2018-08-29 20:00,기타|휴식,집,부산시 사상구 주례동,실내,친밀한 관계|가족,/,/,/,아니오,보통,매우 높음,높음,높음
2018-08-29 20:00,2018-08-29 20:30,업무,집,부산시 사상구 주례동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,높음
2018-08-29 20:30,2018-08-29 22:00,수동적 여가|tv시청,집,부산시 사상구 주례동,실내,친밀한 관계|가족,/,/,/,아니오,보통,매우 높음,보통,높음
2018-08-29 22:00,2018-08-29 23:00,수동적 여가|sns,집,부산시 사상구 주례동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,높음
2018-08-29 23:00,2018-08-29 23:59,수면,집,부산시 사상구 주례동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,높음
