start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-04-21 00:00,2018-04-21 01:00,수동적 여가|게임,집,서울시 동작구 노량진동,실내,혼자,/,/,/,아니오,긍정,매우 높음,보통,보통
2018-04-21 01:00,2018-04-21 01:10,기타|흡연,집,서울시 동작구 노량진동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-04-21 01:10,2018-04-21 10:00,수면,집,서울시 동작구 노량진동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-04-21 10:00,2018-04-21 10:10,이동,야외,서울시 동작구 노량진동,실외,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-04-21 10:10,2018-04-21 10:40,이동,대중교통|지하철,서울시 동작구 노량진동,실외,친밀한 관계|다혜,/,/,/,예,긍정,높음,보통,보통
2018-04-21 10:40,2018-04-21 11:00,사교,카페|스타벅스,서울시 서초구 반포동,실내,친밀한 관계|다혜,기타|커피,매우 적음,간식,예,긍정,높음,보통,보통
2018-04-21 11:00,2018-04-21 13:25,이동,대중교통|버스,서울시 서초구 반포동,실외,친밀한 관계|다혜,/,/,/,예,긍정,보통,보통,보통
2018-04-21 13:25,2018-04-21 13:35,이동,대중교통|택시,강원도 속초시 조양동,실외,친밀한 관계|다혜,/,/,/,예,긍정,보통,보통,보통
2018-04-21 13:35,2018-04-21 14:30,식사,식당,강원도 속초시 대포동,실내,친밀한 관계|다혜,한식|물회,적음,점심,아니오,긍정,보통,보통,보통
2018-04-21 14:30,2018-04-21 14:40,기타|흡연,야외,강원도 속초시 대포동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,보통,보통,보통
2018-04-21 14:40,2018-04-21 14:50,이동,대중교통|택시,강원도 속초시 대포동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,보통,보통,보통
2018-04-21 14:50,2018-04-21 15:30,사교,카페|APLACE,강원도 속초시 조양동,실내,친밀한 관계|다혜,기타|커피,매우 적음,간식,아니오,긍정,보통,보통,보통
2018-04-21 15:30,2018-04-21 15:40,이동,대중교통|택시,강원도 속초시 조양동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 15:40,2018-04-21 16:00,능동적 여가|관광,상점|속초중앙시장,강원도 속초시 중앙동,실외,친밀한 관계|다혜,한식|오징어순대,매우 적음,간식,아니오,긍정,낮음,보통,보통
2018-04-21 16:00,2018-04-21 16:10,기타|흡연,야외,강원도 속초시 중앙동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 16:10,2018-04-21 16:30,이동,대중교통|택시,강원도 속초시 중앙동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 16:30,2018-04-21 17:30,능동적 여가|관광,공원|설악산국립공원,강원도 속초시 설악동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 17:30,2018-04-21 17:50,이동,대중교통|택시,강원도 속초시 설악동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 17:50,2018-04-21 18:00,기타|흡연,야외,강원도 속초시 청호동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 18:00,2018-04-21 18:30,기타|장보기,상점|이마트,강원도 속초시 청호동,실내,친밀한 관계|다혜,/,/,/,예,긍정,낮음,보통,보통
2018-04-21 18:30,2018-04-21 18:35,이동,대중교통|택시,강원도 속초시 청호동,실외,친밀한 관계|다혜,/,/,/,예,긍정,낮음,보통,보통
2018-04-21 18:35,2018-04-21 19:35,식사,기타|펜션,강원도 속초시 조양동,실내,친밀한 관계|다혜,한식|삼겹살,적음,저녁,아니오,긍정,낮음,보통,보통
2018-04-21 19:35,2018-04-21 19:45,기타|흡연,야외,강원도 속초시 조양동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 19:45,2018-04-21 19:50,이동,야외,강원도 속초시 조양동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 19:50,2018-04-21 20:20,능동적 여가|불꽃놀이,야외|속초해수욕장,강원도 속초시 조양동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 20:20,2018-04-21 20:25,이동,야외,강원도 속초시 조양동,실외,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 20:25,2018-04-21 22:25,수동적 여가|영화감상,기타|펜션,강원도 속초시 조양동,실내,친밀한 관계|다혜,/,/,/,아니오,긍정,낮음,보통,보통
2018-04-21 22:25,2018-04-21 23:40,사교|음주,기타|펜션,강원도 속초시 조양동,실내,친밀한 관계|다혜,기타|보드카,적음,기타|주류,아니오,긍정,높음,보통,보통
2018-04-21 23:40,2018-04-21 23:50,기타|흡연,기타|펜션,강원도 속초시 조양동,실내,친밀한 관계|다혜,/,/,/,아니오,긍정,높음,보통,보통
2018-04-21 23:50,2018-04-21 23:59,수면,기타|펜션,강원도 속초시 조양동,실내,친밀한 관계|다혜,/,/,/,아니오,보통,높음,보통,보통
