start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-08-26 0:00,2018-08-26 1:00,수동적 여가|유튜브 시청,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,보통,높음,보통,높음
2018-08-26 1:00,2018-08-26 2:00,기타|뒤척임,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,부정,높음,보통,높음
2018-08-26 2:00,2018-08-26 3:30,수면,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,보통,보통,보통,매우 높음
2018-08-26 3:30,2018-08-26 4:00,수동적 여가|SNS,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,보통,높음,보통,매우 높음
2018-08-26 4:00,2018-08-26 5:00,수면,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,보통,보통,보통,매우 높음
2018-08-26 5:00,2018-08-26 10:00,기타|뒤척임,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,매우 부정,높음,보통,높음
2018-08-26 10:00,2018-08-26 10:30,기타|세면,집,서울시 중구 신당동,실내,혼자,/,/,/,예,부정,매우 높음,보통,높음
2018-08-26 10:30,2018-08-26 11:00,이동,대중교통|버스,서울시 중구 신당동,실외,혼자,/,/,/,예,부정,높음,보통,보통
2018-08-26 11:00,2018-08-26 11:30,식사,식당|마장왕순대,서울시 성동구 마장동,실내,친밀한 관계|성태,한식|순대국,보통,점심,예,매우 긍정,보통,높음,보통
2018-08-26 11:30,2018-08-26 11:50,이동,야외,서울시 성동구 마장동,실외,친밀한 관계|성태,/,/,/,아니오,긍정,보통,높음,보통
2018-08-26 11:50,2018-08-26 13:40,기타|예배,기타|교회,서울시 성동구 마장동,실내,친밀한 관계|교회 친구들,/,/,/,아니오,긍정,보통,높음,보통
2018-08-26 13:40,2018-08-26 14:00,이동,대중교통|버스,서울시 성동구 마장동,실외,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-08-26 14:00,2018-08-26 15:10,식사,카페|봉순이네 다락방,서울시 성동구 행당동,실내,혼자,기타|커피,적음,간식,아니오,매우 긍정,낮음,보통,보통
2018-08-26 15:10,2018-08-26 15:40,이동,대중교통|버스,서울시 성동구 행당동,실외,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-08-26 15:40,2018-08-26 16:20,능동적 여가|산책,야외,서울시 강남구 신사동,실외,친밀한 관계|희연,/,/,/,아니오,매우 긍정,보통,보통,보통
2018-08-26 16:20,2018-08-26 17:00,능동적 여가|독서,카페|놀숲,서울시 강남구 신사동,실내,친밀한 관계|희연,/,/,/,아니오,매우 긍정,보통,보통,보통
2018-08-26 17:00,2018-08-26 17:40,식사,카페|놀숲,서울시 강남구 신사동,실내,친밀한 관계|희연,기타|떡볶이,보통,간식,아니오,매우 긍정,보통,보통,보통
2018-08-26 17:40,2018-08-26 18:00,능동적 여가|독서,카페|놀숲,서울시 강남구 신사동,실내,친밀한 관계|희연,/,/,/,아니오,매우 긍정,보통,보통,보통
2018-08-26 18:00,2018-08-26 18:20,이동,야외,서울시 강남구 신사동,실외,친밀한 관계|희연,/,/,/,아니오,긍정,보통,보통,보통
2018-08-26 18:20,2018-08-26 19:10,식사,식당|훌리오,서울시 강남구 신사동,실내,친밀한 관계|희연,기타|엔칠라다,보통,저녁,아니오,매우 긍정,보통,보통,보통
2018-08-26 19:10,2018-08-26 19:20,이동,야외,서울시 강남구 신사동,실외,친밀한 관계|희연,/,/,/,아니오,긍정,보통,보통,보통
2018-08-26 19:20,2018-08-26 20:10,식사,식당|컬렉션라운지,서울시 강남구 신사동,실내,친밀한 관계|희연,기타|칵테일,적음,기타,아니오,매우 긍정,보통,보통,보통
2018-08-26 20:10,2018-08-26 20:40,이동,야외,서울시 강남구 신사동,실외,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-08-26 20:40,2018-08-26 20:50,기타|장 보기,상점|마트,서울시 중구 신당동,실내,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-08-26 20:50,2018-08-26 21:00,이동,야외,서울시 중구 신당동,실외,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-08-26 21:00,2018-08-26 21:20,수동적 여가|SNS,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-08-26 21:20,2018-08-26 21:40,수동적 여가|유튜브 시청,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-08-26 21:40,2018-08-26 22:00,기타|샤워,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-08-26 22:00,2018-08-26 22:20,청소,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,보통,보통,보통,보통
2018-08-26 22:20,2018-08-26 22:40,사교|통화,집,서울시 중구 신당동,실내,친밀한 관계|수혁,/,/,/,아니오,보통,긍정,보통,보통
2018-08-26 22:40,2018-08-26 23:00,수동적 여가|유튜브 시청,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,보통,보통,보통,높음
2018-08-26 23:00,2018-08-26 23:20,수동적 여가|SNS,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,보통,보통,보통,높음
2018-08-26 23:20,2018-08-26 23:40,수동적 여가|웹서핑,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,보통,보통,보통,높음
2018-08-26 23:40,2018-08-26 23:59,수동적 여가|유튜브 시청,집,서울시 중구 신당동,실내,혼자,/,/,/,아니오,보통,보통,보통,높음
