start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-12-24 0:00,2018-12-24 6:24,수면,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-12-24 6:24,2018-12-24 6:34,식사|커피 마시기,집,서울시 강남구 삼성동,실내,혼자,기타|커피,적음,간식,아니오,보통,높음,보통,보통
2018-12-24 6:34,2018-12-24 7:23,능동적 여가|산책 및 운동,공원|봉은공원,서울시 강남구 삼성동,실외,혼자,/,/,/,예,보통,보통,낮음,낮음
2018-12-24 7:23,2018-12-24 7:26,기타|고양이 밥주기,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-12-24 7:26,2018-12-24 7:59,기타|외출준비,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-12-24 7:59,2018-12-24 8:17,기타|거울보기,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,부정,낮음,보통,보통
2018-12-24 8:17,2018-12-24 8:27,수동적 여가|스마트폰 사용,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,부정,낮음,보통,보통
2018-12-24 8:27,2018-12-24 8:55,이동,야외,서울시 강남구 논현동,실외,혼자,/,/,/,예,긍정,낮음,낮음,낮음
2018-12-24 8:55,2018-12-24 9:24,기타|하루 일과 계획 및 생각,기타|작업실,서울시 강남구 논현동,실내,혼자,/,/,/,예,긍정,매우 낮음,보통,보통
2018-12-24 9:24,2018-12-24 9:38,사교|편집자와 통화,기타|작업실,서울시 강남구 논현동,실내,친밀한 관계|편집자,/,/,/,예,매우 긍정,매우 낮음,보통,보통
2018-12-24 9:38,2018-12-24 11:58,업무|소설 작업,기타|작업실,서울시 강남구 논현동,실내,혼자,/,/,/,예,매우 긍정,매우 낮음,보통,보통
2018-12-24 11:58,2018-12-24 12:23,식사,기타|작업실,서울시 강남구 논현동,실내,혼자,한식|죽,보통,점심,아니오,보통,매우 낮음,보통,보통
2018-12-24 12:23,2018-12-24 12:49,수동적 여가|영화 감상,기타|작업실,서울시 강남구 논현동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-12-24 12:49,2018-12-24 13:37,업무|소설 작업,기타|작업실,서울시 강남구 논현동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-12-24 13:37,2018-12-24 14:02,이동,야외,서울시 강남구 서초동,실외,혼자,/,/,/,예,보통,낮음,낮음,낮음
2018-12-24 14:02,2018-12-24 15:58,운동,기타|헬스장,서울시 강남구 서초동,실내,혼자,/,/,/,예,보통,보통,보통,보통
2018-12-24 15:58,2018-12-24 16:22,이동,야외,서울시 강남구 삼성동,실내,혼자,/,/,/,예,보통,보통,보통,보통
2018-12-24 16:22,2018-12-24 17:24,기타|외출준비,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,긍정,보통,보통,보통
2018-12-24 17:24,2018-12-24 17:24,수동적 여가|영화 감상,기타|작업실,서울시 강남구 삼성동,실내,혼자,/,/,/,예,긍정,보통,보통,보통
2018-12-24 17:24,2018-12-24 17:27,기타|고양이 밥주기,기타|작업실,서울시 강남구 삼성동,실내,혼자,/,/,/,예,긍정,보통,보통,보통
2018-12-24 17:27,2018-12-24 18:30,이동,야외,서울시 강남구 서초동,실외,혼자,/,/,/,예,보통,보통,낮음,낮음
2018-12-24 18:30,2018-12-24 20:26,기타|크리스마스 이브 작가 모임,기타,서울시 강남구 서초동,실외,친밀한 관계|편집자,/,/,/,아니오,부정,높음,낮음,낮음
2018-12-24 20:26,2018-12-24 20:56,이동,야외,서울시 강남구 삼성동,실외,혼자,/,/,/,예,부정,매우 높음,낮음,낮음
2018-12-24 20:56,2018-12-24 21:12,수동적 여가|흡연,야외|집 앞,서울시 강남구 삼성동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-12-24 21:12,2018-12-24 21:45,수동적 여가|고양이와 시간 보내기,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-12-24 21:45,2018-12-24 21:57,사교|부모님과 통화,집,서울시 강남구 삼성동,실내,친밀한 관계|부모님,/,/,/,예,부정,높음,보통,보통
2018-12-24 21:57,2018-12-24 22:23,기타|일기 작성,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-12-24 22:23,2018-12-24 22:37,수동적 여가|독서,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-12-24 22:37,2018-12-24 22:43,식사|차 마시기,집,서울시 강남구 삼성동,실내,혼자,기타|식사,적음,간식,예,부정,매우 높음,보통,보통
2018-12-24 22:43,2018-12-24 22:55,기타|샤워,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,부정,매우 높음,보통,보통
2018-12-24 22:55,2018-12-24 23:59,수면,집,서울시 강남구 삼성동,실내,혼자,/,/,/,예,보통,보통,보통,보통
