start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-07 0:00,2018-09-07 3:00,공부,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-07 3:00,2018-09-07 3:30,수동적 여가|유튜브 시청,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,보통,보통,보통
2018-09-07 3:30,2018-09-07 3:40,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,보통,보통,보통
2018-09-07 3:40,2018-09-07 4:30,능동적 여가|운동,야외|운동장,서울시 서대문구 연희동,실외,"친밀한 관계|철수, 주아, 최리",/,/,/,아니오,매우 긍정,보통,보통,보통
2018-09-07 4:30,2018-09-07 4:50,이동,야외,서울시 서대문구 신촌동,실외,친밀한 관계|철수,/,/,/,예,긍정,높음,보통,보통
2018-09-07 4:50,2018-09-07 5:20,식사,식당|더진국,서울시 서대문구 신촌동,실내,친밀한 관계|철수,"한식|국밥, 기타|만두",많음,야식,예,긍정,높음,보통,보통
2018-09-07 5:20,2018-09-07 5:50,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-07 5:50,2018-09-07 6:20,기타|샤워,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-07 6:20,2018-09-07 6:25,기타|알람 맞추기,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-07 6:25,2018-09-07 14:30,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,보통,보통,보통
2018-09-07 14:30,2018-09-07 14:40,기상,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-07 14:40,2018-09-07 15:10,수동적 여가|유튜브 시청,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-07 15:10,2018-09-07 15:20,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-07 15:20,2018-09-07 15:30,사교|통화,집,서울시 서대문구 연희동,실내,친밀한 관계|선미,/,/,/,아니오,보통,높음,보통,보통
2018-09-07 15:30,2018-09-07 16:00,기타|샤워,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,보통,높음,보통,높음
2018-09-07 16:00,2018-09-07 16:20,식사,집,서울시 서대문구 연희동,실내,혼자,"한식|밥, 찌개, 누룽지",매우 많음,점심,예,보통,보통,보통,보통
2018-09-07 16:20,2018-09-07 16:30,기타|양치,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,부정,보통,보통,보통
2018-09-07 16:30,2018-09-07 17:00,기타|화장,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,매우 부정,보통,보통,보통
2018-09-07 17:00,2018-09-07 17:20,이동,대중교통|버스,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,부정,보통,보통,낮음
2018-09-07 17:20,2018-09-07 17:30,사교,카페|아르바이트 장소,서울시 서대문구 신촌동,실내,친밀한 관계|아르바이트 사장,/,/,/,아니오,긍정,보통,보통,보통
2018-09-07 17:30,2018-09-07 21:00,업무|아르바이트,카페|아르바이트 장소,서울시 서대문구 신촌동,실내,"친밀한 관계|아르바이트 사장, 아르바이트생 지원",/,/,/,아니오,긍정,높음,보통,보통
2018-09-07 21:00,2018-09-07 21:30,사교,카페|아르바이트 장소,서울시 서대문구 신촌동,실내,친밀한 관계|아르바이트생 지원,기타|과자,적음,간식,예,매우 긍정,보통,보통,보통
2018-09-07 21:30,2018-09-07 21:40,이동,야외,서울시 서대문구 신촌동,실외,친밀한 관계|지수,/,/,/,예,긍정,보통,보통,보통
2018-09-07 21:40,2018-09-07 22:20,공부|조모임,카페,서울시 서대문구 신촌동,실내,"데면한 관계|우철, 시아",기타|음료,적음,간식,예,보통,보통,보통,보통
2018-09-07 22:20,2018-09-07 22:30,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,부정,보통,보통,높음
2018-09-07 22:30,2018-09-07 22:50,식사,상점|편의점,서울시 서대문구 신촌동,실내,혼자,"기타|라면, 김밥, 떡볶이",매우 많음,저녁,예,보통,보통,보통,보통
2018-09-07 22:50,2018-09-07 23:10,이동,대중교통|버스,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,매우 부정,보통,보통,보통
2018-09-07 23:10,2018-09-07 23:20,기타|양치,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,부정,보통,보통,보통
2018-09-07 23:20,2018-09-07 23:30,사교|통화,집,서울시 서대문구 연희동,실내,친밀한 관계|철수,/,/,/,아니오,긍정,보통,보통,보통
2018-09-07 23:30,2018-09-07 23:40,수동적 여가|SNS,집,서울시 서대문구 연희동,실내,친밀한 관계|서희,/,/,/,아니오,긍정,보통,보통,보통
2018-09-07 23:40,2018-09-07 23:50,청소,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-09-07 23:50,2018-09-07 23:59,수동적 여가|웹서핑,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,보통,보통,보통
