start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-01-03 00:00,2018-01-03 01:00,수동적 여가|온라인 게임,집,서울시 서대문구 신촌동,실내,친밀한 관계|건희,/,/,/,아니오,긍정,높음,낮음,낮음
2018-01-03 01:00,2018-01-03 01:30,수동적 여가|TV 시청,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,긍정,매우 높음,낮음,매우 낮음
2018-01-03 01:00,2018-01-03 02:00,식사,집,서울시 서대문구 신촌동,실내,혼자,한식|김치볶음밥,적음,야식,아니오,긍정,높음,낮음,낮음
2018-01-03 02:00,2018-01-03 02:30,수동적 여가|유튜브 시청,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,매우 높음,매우 낮음,보통
2018-01-03 02:30,2018-01-03 06:00,수면,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,긍정,낮음,매우 낮음,높음
2018-01-03 06:00,2018-01-03 06:30,식사,집,서울시 서대문구 신촌동,실내,혼자,한식|닭가슴살,매우 적음,아침,아니오,부정,높음,낮음,매우 높음
2018-01-03 06:30,2018-01-03 07:00,기타|샤워,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,낮음,매우 높음
2018-01-03 07:00,2018-01-03 07:30,기타|출근 준비,집,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,부정,매우 높음,매우 낮음,높음
2018-01-03 07:30,2018-01-03 08:00,이동,대중교통|버스,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,매우 부정,높음,낮음,높음
2018-01-03 08:00,2018-01-03 08:10,기타|흡연,공원,서울시 종로구 청진동,실외,혼자,/,/,/,아니오,부정,높음,낮음,매우 높음
2018-01-03 08:10,2018-01-03 08:30,업무|거래 준비,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,아니오,매우 부정,높음,매우 낮음,높음
2018-01-03 08:30,2018-01-03 09:00,업무|회의,사무실,서울시 종로구 청진동,실내,친밀한 관계|상무님,/,/,/,예,부정,높음,낮음,매우 높음
2018-01-03 09:00,2018-01-03 10:00,업무|거래,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,예,매우 부정,매우 높음,낮음,보통
2018-01-03 10:00,2018-01-03 10:30,업무|업무 보고,사무실,서울시 종로구 청진동,실내,데면한 관계|Cynthia,/,/,/,예,부정,매우 높음,낮음,보통
2018-01-03 10:30,2018-01-03 11:00,업무|거래,사무실,서울시 종로구 청진동,실내,혼자,/,/,/,예,매우 부정,매우 높음,낮음,높음
