start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-10-02 0:00,2018-10-02 0:30,사교|남자친구와 영상통화,집,서울시 마포구 연남동,실내,친밀한 관계|남자친구,/,/,/,아니오,긍정,낮음,낮음,낮음
2018-10-02 0:30,2018-10-02 1:00,기타|인스타그램 라이브방송,집,서울시 마포구 연남동,실내,혼자,/,/,/,아니오,긍정,낮음,낮음,낮음
2018-10-02 1:00,2018-10-02 2:00,공부|패션잡지 구독,집,서울시 마포구 연남동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,낮음
2018-10-02 2:00,2018-10-02 2:10,기타|네이버 뉴스 구독,집,서울시 마포구 연남동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,낮음
2018-10-02 2:10,2018-10-02 2:30,수동적 여가|음악 감상,집,서울시 마포구 연남동,실내,혼자,/,/,/,아니오,보통,높음,낮음,낮음
2018-10-02 2:30,2018-10-02 2:45,수동적 여가|웹툰 시청,집,서울시 마포구 연남동,실내,혼자,/,/,/,아니오,보통,높음,낮음,낮음
2018-10-02 2:45,2018-10-02 9:50,수면,집,서울시 마포구 연남동,실내,혼자,/,/,/,아니오,보통,높음,보통,낮음
2018-10-02 9:50,2018-10-02 10:00,기타|헬스가방 꾸리기,집,서울시 마포구 연남동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,낮음
2018-10-02 10:00,2018-10-02 10:05,기타|애완묘 사료 주기,집,서울시 마포구 연남동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,낮음
2018-10-02 10:05,2018-10-02 10:10,이동,기타|헬스장,서울시 마포구 연남동,실외,혼자,/,/,/,아니오,부정,매우 높음,보통,낮음
2018-10-02 10:10,2018-10-02 11:00,기타|운동,기타|헬스장,서울시 마포구 연남동,실내,혼자,/,/,/,예,부정,매우 높음,보통,낮음
2018-10-02 11:00,2018-10-02 11:30,기타|샤워,기타|헬스장,서울시 마포구 연남동,실내,혼자,/,/,/,예,보통,매우 높음,보통,낮음
2018-10-02 11:30,2018-10-02 11:35,이동,집,서울시 마포구 연남동,실외,혼자,/,/,/,예,부정,매우 높음,보통,낮음
2018-10-02 11:35,2018-10-02 12:10,식사,집,서울시 마포구 연남동,실내,혼자,기타|시리얼,매우 적음,점심,아니오,보통,높음,보통,낮음
2018-10-02 12:10,2018-10-02 12:40,기타|외출 준비,집,서울시 마포구 연남동,실내,혼자,/,/,/,아니오,부정,높음,보통,낮음
2018-10-02 12:40,2018-10-02 13:00,이동,카페,서울시 마포구 연남동,실외,친밀한 관계|수아,/,/,/,아니오,부정,높음,보통,낮음
2018-10-02 13:00,2018-10-02 13:15,식사,카페,서울시 마포구 연남동,실내,친밀한 관계|수아,기타|커피,적음,간식,아니오,보통,높음,보통,낮음
2018-10-02 13:15,2018-10-02 13:45,이동,대중교통|버스,서울시 마포구 연남동,실외,친밀한 관계|수아,/,/,/,아니오,보통,높음,보통,낮음
2018-10-02 13:45,2018-10-02 15:00,업무|화보 촬영,사무실,서울시 영등포구 당산동,실내,친밀한 관계|수아,/,/,/,아니오,보통,높음,보통,낮음
