start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2013-07-08 0:00,2013-07-08 0:25,기타|세면 및 잘 준비,집,서울시 관악구 신림동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음
2013-07-08 0:25,2013-07-08 1:20,수동적 여가|라디오 청취,집,서울시 관악구 신림동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음
2013-07-08 1:20,2013-07-08 2:10,수동적 여가|스마트폰으로 웹서핑,집,서울시 관악구 신림동,실내,혼자,/,/,/,아니오,보통,높음,높음,높음
2013-07-08 2:10,2013-07-08 6:50,수면,집,서울시 관악구 신림동,실내,혼자,/,/,/,예,부정,높음,높음,매우 높음
2013-07-08 6:50,2013-07-08 7:35,기타|출근 준비,집,서울시 관악구 신림동,실내,혼자,/,/,/,예,매우 부정,높음,높음,매우 높음
2013-07-08 7:35,2013-07-08 8:40,이동,대중교통|버스,서울시 관악구 신림동,실외,혼자,/,/,/,아니오,매우 부정,높음,높음,매우 높음
2013-07-08 8:40,2013-07-08 8:55,업무|조회,사무실,서울시 영등포구 영등포동,실내,"데면한 관계|매니저, 동료",기타|커피,매우 적음,간식,아니오,부정,높음,높음,높음
2013-07-08 8:55,2013-07-08 9:00,업무|헤드셋 점검 및 업무 준비,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,예,부정,높음,높음,높음
2013-07-08 9:00,2013-07-08 10:50,업무|사고 및 제휴처리,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,예,부정,높음,보통,보통
2013-07-08 10:50,2013-07-08 10:57,기타|휴식,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,예,부정,높음,보통,보통
2013-07-08 10:57,2013-07-08 11:50,업무|사고 및 제휴처리,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,보통,보통
2013-07-08 11:50,2013-07-08 12:20,식사,식당|사내식당,서울시 영등포구 영등포동,실내,혼자,한식|백반,적음,점심,아니오,부정,높음,보통,보통
2013-07-08 12:20,2013-07-08 14:30,업무|개인 상담,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,보통,보통
2013-07-08 14:30,2013-07-08 15:45,업무|개인 상담 및 영업,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,예,부정,높음,보통,보통
2013-07-08 15:45,2013-07-08 16:05,식사,기타|탕비실,서울시 영등포구 영등포동,실내,혼자,기타|초코바,적음,간식,예,보통,높음,보통,보통
2013-07-08 16:05,2013-07-08 16:50,업무|개인 대상 영업,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2013-07-08 16:50,2013-07-08 17:20,업무|개인 대상 영업,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2013-07-08 17:20,2013-07-08 18:10,업무|개인 대상 영업,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,예,매우 부정,높음,보통,보통
2013-07-08 18:10,2013-07-08 18:40,업무|개인 대상 영업,사무실,서울시 영등포구 영등포동,실내,혼자,/,/,/,아니오,매우 부정,높음,보통,보통
2013-07-08 18:40,2013-07-08 18:45,기타|휴식,사무실,서울시 영등포구 영등포동,실내,혼자,기타|목캔디,매우 적음,간식,아니오,매우 부정,높음,높음,높음
2013-07-08 18:45,2013-07-08 19:30,업무|실적 집계 및 보고,사무실,서울시 영등포구 영등포동,실내,"데면한 관계|매니저, 동료",/,/,/,아니오,매우 부정,매우 높음,높음,높음
2013-07-08 19:30,2013-07-08 19:40,업무|주요 전달사항 공지,사무실,서울시 영등포구 영등포동,실내,"데면한 관계|매니저, 동료",/,/,/,아니오,매우 부정,매우 높음,높음,높음
2013-07-08 19:40,2013-07-08 20:35,업무|상담원 교육,사무실,서울시 영등포구 영등포동,실내,데면한 관계|동료,/,/,/,예,매우 부정,매우 높음,높음,매우 높음
2013-07-08 20:35,2013-07-08 21:20,이동,대중교통|버스,서울시 영등포구 영등포동,실외,혼자,/,/,/,아니오,매우 부정,매우 높음,높음,매우 높음
2013-07-08 21:20,2013-07-08 21:30,식사,집,서울시 관악구 신림동,실내,혼자,기타|약,매우 적음,기타,아니오,부정,매우 높음,높음,매우 높음
2013-07-08 21:30,2013-07-08 21:45,식사,집,서울시 관악구 신림동,실내,혼자,"기타|삶은 계란, 방울 토마토",적음,저녁,예,보통,높음,높음,매우 높음
2013-07-08 21:45,2013-07-08 22:05,공부|상담원 교육 내용 숙지,집,서울시 관악구 신림동,실내,혼자,/,/,/,아니오,부정,매우 높음,높음,매우 높음
2013-07-08 22:05,2013-07-08 22:55,수동적 여가|유튜브 먹방 영상 시청,집,서울시 관악구 신림동,실내,혼자,/,/,/,예,부정,높음,높음,매우 높음
2013-07-08 22:55,2013-07-08 23:35,수면,집,서울시 관악구 신림동,실내,혼자,/,/,/,아니오,부정,높음,높음,매우 높음
2013-07-08 23:35,2013-07-08 23:59,기타|세면 및 정리,집,서울시 관악구 신림동,실내,혼자,/,/,/,아니오,부정,매우 높음,높음,매우 높음
