start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-10-13 0:00,2018-10-13 10:20,수면,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,부정,높음,낮음,보통
2018-10-13 10:20,2018-10-13 10:30,사교|통화,집,서울시 동대문구 답십리동,실내,친밀한 관계|애인,/,/,/,예,부정,높음,낮음,보통
2018-10-13 10:30,2018-10-13 11:00,휴식,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,예,부정,높음,낮음,보통
2018-10-13 11:00,2018-10-13 11:20,사교,집,서울시 동대문구 답십리동,실내,친밀한 관계|가족,/,/,/,예,부정,높음,낮음,보통
2018-10-13 11:20,2018-10-13 11:30,기타|식사 준비,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,예,부정,높음,낮음,보통
2018-10-13 11:30,2018-10-13 11:50,식사,집,서울시 성동구 용답동,실내,친밀한 관계|가족,기타|인스턴트 라면,많음,점심,예,보통,높음,낮음,보통
2018-10-13 11:50,2018-10-13 12:10,청소|설거지,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통
2018-10-13 12:10,2018-10-13 12:30,휴식,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통
2018-10-13 12:30,2018-10-13 12:40,사교,집,서울시 동대문구 답십리동,실내,친밀한 관계|가족,/,/,/,아니오,보통,높음,낮음,보통
2018-10-13 12:40,2018-10-13 12:45,청소|세탁,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-10-13 12:45,2018-10-13 13:00,청소|짐정리,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-10-13 13:00,2018-10-13 13:20,사교,집,서울시 동대문구 답십리동,실내,친밀한 관계|가족,/,/,/,아니오,긍정,높음,보통,보통
2018-10-13 13:20,2018-10-13 13:30,능동적 여가|산책,야외,서울시 동대문구 답십리동,실외,친밀한 관계|가족,/,/,/,아니오,긍정,높음,보통,보통
2018-10-13 13:30,2018-10-13 13:50,기타|쇼핑,상점|이마트 에브리데이,서울시 동대문구 답십리동,실외,친밀한 관계|가족,/,/,/,아니오,긍정,높음,보통,낮음
2018-10-13 13:50,2018-10-13 14:00,이동,야외,서울시 동대문구 답십리동,실외,친밀한 관계|가족,/,/,/,아니오,긍정,높음,보통,낮음
2018-10-13 14:00,2018-10-13 14:30,청소|빨래 널기,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,보통,높음,보통,낮음
2018-10-13 14:30,2018-10-13 15:00,수동적 여가|독서,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,예,보통,높음,보통,낮음
2018-10-13 15:00,2018-10-13 15:40,업무|서술형 문항 점수확인,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,예,보통,높음,보통,낮음
2018-10-13 15:40,2018-10-13 16:00,청소|건조기 돌리기,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,예,보통,매우 높음,보통,낮음
