start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-16 1:55,2018-09-16 10:05,수면,집,서울시 종로구 평창동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-16 10:05,2018-09-16 10:25,기타|외출준비,집,서울시 종로구 평창동,실내,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-16 10:25,2018-09-16 10:55,식사,집,서울시 종로구 평창동,실내,혼자,기타|시리얼,적음,아침,예,부정,높음,보통,보통
2018-09-16 10:55,2018-09-16 11:20,이동,기타|자가용,서울시 종로구 평창동,실외,혼자,/,/,/,아니오,부정,높음,높음,보통
2018-09-16 11:20,2018-09-16 12:05,업무|정산,사무실|PC방,서울시 종로구 구기동,실내,친밀한 관계|범규,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 12:05,2018-09-16 12:15,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 12:15,2018-09-16 12:30,수동적 여가|휴식,사무실|PC방,서울시 종로구 구기동,실내,혼자,기타|커피,매우 적음,기타,아니오,보통,낮음,보통,보통
2018-09-16 12:30,2018-09-16 12:45,업무|요리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-16 12:45,2018-09-16 12:50,업무|서빙,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-16 12:50,2018-09-16 13:10,업무|카운터정리,사무실|PC방,서울시 종로구 구기동,실내,친밀한 관계|범규,/,/,/,예,보통,높음,보통,보통
2018-09-16 13:10,2018-09-16 13:20,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-16 13:20,2018-09-16 13:35,업무|요리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 13:35,2018-09-16 13:40,업무|서빙,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 13:40,2018-09-16 14:20,식사,사무실|PC방,서울시 종로구 구기동,실내,혼자,중식|볶음밥,많음,점심,예,보통,높음,보통,보통
2018-09-16 14:20,2018-09-16 14:30,기타|흡연,사무실|PC방,서울시 종로구 구기동,실외,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-09-16 14:30,2018-09-16 14:40,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 14:40,2018-09-16 14:55,업무|요리,사무실|PC방,서울시 종로구 구기동,실내,친밀한 관계|범규,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 14:55,2018-09-16 15:00,업무|서빙,사무실|PC방,서울시 종로구 구기동,실내,친밀한 관계|범규,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 15:00,2018-09-16 15:15,업무|요리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 15:15,2018-09-16 15:20,업무|서빙,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 15:20,2018-09-16 15:30,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 15:30,2018-09-16 15:45,업무|요리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 15:45,2018-09-16 15:50,업무|서빙,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 15:50,2018-09-16 16:00,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 16:00,2018-09-16 16:30,업무|화장실청소,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 16:30,2018-09-16 16:45,업무|요리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 16:45,2018-09-16 16:50,업무|서빙,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-16 16:50,2018-09-16 17:00,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-16 17:00,2018-09-16 17:20,업무|카운터정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-16 17:20,2018-09-16 17:30,기타|흡연,사무실|PC방,서울시 종로구 구기동,실외,혼자,/,/,/,예,보통,높음,높음,보통
2018-09-16 17:30,2018-09-16 18:15,업무|정산,사무실|PC방,서울시 종로구 구기동,실내,친밀한 관계|범규,/,/,/,예,보통,매우 높음,보통,보통
2018-09-16 18:15,2018-09-16 18:30,업무|요리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-16 18:30,2018-09-16 18:35,업무|서빙,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-16 18:35,2018-09-16 18:45,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-16 18:45,2018-09-16 19:15,식사,사무실|PC방,서울시 종로구 구기동,실내,혼자,기타|떡라면,매우 많음,저녁,예,긍정,매우 높음,보통,보통
2018-09-16 19:15,2018-09-16 19:25,기타|흡연,사무실|PC방,서울시 종로구 구기동,실외,혼자,/,/,/,아니오,긍정,매우 높음,낮음,보통
2018-09-16 19:25,2018-09-16 19:40,업무|요리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-16 19:40,2018-09-16 19:45,업무|서빙,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-16 19:45,2018-09-16 19:55,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,데면한 관계|지은,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-16 19:55,2018-09-16 23:00,수동적 여가|게임,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-16 23:00,2018-09-16 23:10,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-16 23:10,2018-09-16 23:25,업무|요리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-16 23:25,2018-09-16 23:30,업무|서빙,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-09-16 23:30,2018-09-17 0:00,식사,사무실|PC방,서울시 종로구 구기동,실내,혼자,기타|핫도그,많음,야식,예,보통,매우 높음,보통,보통
2018-09-17 0:00,2018-09-17 0:10,업무|자리정리,사무실|PC방,서울시 종로구 구기동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-09-17 0:10,2018-09-17 0:30,이동,기타|자가용,서울시 종로구 구기동,실외,혼자,/,/,/,아니오,보통,매우 높음,낮음,보통
