start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-09 0:00,2018-09-09 0:30,수동적 여가|TV시청,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,보통,높음,낮음,낮음
2018-09-09 0:30,2018-09-09 1:46,수동적 여가|트위치시청,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,보통,높음,낮음,낮음
2018-09-09 1:46,2018-09-09 2:15,수동적 여가|페이스북,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,보통,매우 높음,낮음,낮음
2018-09-09 2:15,2018-09-09 10:00,수면,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,보통,매우 높음,낮음,낮음
2018-09-09 10:00,2018-09-09 10:10,능동적 여가|스트레칭,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-09-09 10:10,2018-09-09 10:15,기타|세수,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-09-09 10:15,2018-09-09 10:20,사교|통화,집,서울시 마포구 서교동,실내,친밀한 사람|아빠,/,/,/,아니오,보통,매우 높음,낮음,보통
2018-09-09 10:20,2018-09-09 10:35,기타|외출준비,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통
2018-09-09 10:35,2018-09-09 10:50,이동,야외,서울시 마포구 서교동,실외,혼자,/,/,/,아니오,보통,높음,낮음,보통
2018-09-09 10:50,2018-09-09 11:15,기타|우편발송,기타|우체국,서울시 마포구 서교동,실내,혼자,/,/,/,예,보통,높음,낮음,보통
2018-09-09 11:15,2018-09-09 11:20,이동,야외,서울시 마포구 서교동,실외,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-09 11:20,2018-09-09 12:00,기타|식료품구입,상점|홈플러스,서울시 마포구 서교동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-09 12:00,2018-09-09 12:10,이동,대중교통|버스,서울시 마포구 서교동,실외,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-09 12:10,2018-09-09 12:25,기타|식사준비,집,서울시 마포구 서교동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-09 12:25,2018-09-09 12:50,식사,집,서울시 마포구 서교동,실내,혼자,한식|집밥,많음,점심,예,보통,높음,보통,보통
2018-09-09 12:50,2018-09-09 13:00,청소|설거지,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-09 13:00,2018-09-09 13:10,식사,집,서울시 마포구 서교동,실내,혼자,기타|커피,적음,기타,아니오,긍정,높음,보통,보통
2018-09-09 13:10,2018-09-09 14:00,수동적 여가|유튜브시청,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-09 14:00,2018-09-09 16:20,수동적 여가|컴퓨터게임,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-09 16:20,2018-09-09 16:40,기타|외출준비,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-09 16:40,2018-09-09 17:00,이동,대중교통|버스,서울시 마포구 서교동,실외,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-09 17:00,2018-09-09 17:20,이동,야외,서울시 서대문구 창천동,실외,친밀한 사람|두리,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-09 17:20,2018-09-09 18:00,능동적 여가|노래방,기타|코인노래방,서울시 서대문구 창천동,실내,친밀한 사람|두리,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-09 18:00,2018-09-09 18:10,이동,야외,서울시 서대문구 창천동,실외,친밀한 사람|두리,/,/,/,예,긍정,낮음,낮음,보통
2018-09-09 18:10,2018-09-09 19:25,식사,식당|춘천닭갈비,서울시 서대문구 창천동,실내,친밀한 사람|두리,한식|닭갈비,많음,저녁,예,긍정,낮음,낮음,보통
2018-09-09 19:25,2018-09-09 19:30,이동,야외,서울시 서대문구 창천동,실외,친밀한 사람|두리,/,/,/,아니오,긍정,높음,낮음,보통
2018-09-09 19:30,2018-09-09 21:20,식사,식당|홍미닭발,서울시 서대문구 창천동,실내,친밀한 사람|두리,한식|닭발,적음,야식,아니오,긍정,높음,낮음,보통
2018-09-09 21:20,2018-09-09 21:25,이동,야외,서울시 서대문구 창천동,실외,친밀한 사람|두리,/,/,/,아니오,긍정,높음,낮음,보통
2018-09-09 21:25,2018-09-09 22:50,식사,기타|칵테일바,서울시 서대문구 창천동,실내,친밀한 사람|두리,기타|술,적음,기타,아니오,긍정,높음,낮음,보통
2018-09-09 22:50,2018-09-09 23:15,이동,대중교통|버스,서울시 서대문구 창천동,실외,혼자,/,/,/,아니오,긍정,매우 높음,낮음,보통
2018-09-09 23:15,2018-09-09 23:25,기타|세수,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,긍정,매우 높음,낮음,보통
2018-09-09 23:25,2018-09-09 23:30,이동,야외,서울시 마포구 서교동,실외,혼자,/,/,/,아니오,보통,매우 높음,낮음,보통
2018-09-09 23:30,2018-09-09 23:35,기타|음료수구입,상점|편의점,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,보통,매우 높음,낮음,보통
2018-09-09 23:35,2018-09-09 23:40,이동,야외,서울시 마포구 서교동,실외,혼자,/,/,/,아니오,보통,매우 높음,낮음,보통
2018-09-09 23:40,2018-09-10 0:00,기타|샤워,집,서울시 마포구 서교동,실내,혼자,/,/,/,아니오,보통,매우 높음,낮음,보통
