start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-9-1 00:00,2018-9-1 03:00,수면,집,서울시 구로구 구로동,실내,혼자,/,/,/,아니오,부정|잠이 안와서,높음,높음,보통
2018-9-1 03:00,2018-9-1 03:10,청소,집,서울시 구로구 구로동,실내,혼자,/,/,/,아니오,부정|잠이 안와서,높음,높음,보통
2018-9-1 03:00,2018-9-1 04:00,수동적 여가|영화,집,서울시 구로구 구로동,실내,혼자,/,/,/,예,부정|잠이 안와서,높음,높음,보통
2018-9-1 04:00,2018-9-1 04:20,식사,집,서울시 구로구 구로동,실내,혼자,기타|도넛,적음,야식,아니오,긍정,높음,높음,보통
2018-9-1 04:20,2018-9-1 06:30,수면,집,서울시 구로구 구로동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,보통
2018-9-1 06:30,2018-9-1 07:00,기타|샤워,집,서울시 구로구 구로동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-9-1 07:00,2018-9-1 07:30,식사,집,서울시 구로구 구로동,실내,혼자,기타|선식,적음,아침,아니오,보통,낮음,보통,보통
2018-9-1 07:30,2018-9-1 08:10,이동|도보,야외,서울시 구로구 구로동,실외,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-9-1 08:10,2018-9-1 09:00,업무|회의,사무실,서울시 구로구 구로동,실내,친밀한 관계|직원,/,/,/,아니오,긍정,낮음,보통,보통
2018-9-1 09:00,2018-9-1 10:00,이동,대중교통,서울시 구로구 구로동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-9-1 10:00,2018-9-1 11:00,업무,사무실,서울시 중구 정동,실내,데면한 관계,/,/,/,아니오,긍정,낮음,보통,보통
2018-9-1 11:00,2018-9-1 12:00,사교,카페,서울시 중구 정동,실내,데면한 관계,/,/,/,아니오,긍정,낮음,높음,보통
2018-9-1 12:00,2018-9-1 13:00,식사,식당,서울시 중구 정동,실내,데면한 관계,일식|스시,적음,점심,아니오,긍정,낮음,높음,보통
2018-9-1 13:00,2018-9-1 14:00,이동,대중교통,서울시 중구 정동,실외,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-9-1 14:00,2018-9-1 15:00,수면|낮잠,사무실,서울시 구로구 구로동,실내,혼자,/,/,/,아니오,보통,낮음,높음,보통
2018-9-1 15:00,2018-9-1 17:00,업부,사무실,서울시 구로구 구로동,실내,친밀한 관계|상담학생,/,/,/,아니오,보통,높음,높음,보통
2018-9-1 17:00,2018-9-1 17:10,이동|도보,야외,서울시 구로구 구로동,실외,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-9-1 17:10,2018-9-1 18:00,봉사,공원,서울시 구로구 구로동,실외,데면한 관계,/,/,/,예,긍정,매우 높음,보통,보통
2018-9-1 18:00,2018-9-1 18:10,이동|도보,야외,서울시 구로구 구로동,실외,혼자,/,/,/,예,긍정,매우 높음,보통,보통
2018-9-1 18:10,2018-9-1 18:30,기타,상점,서울시 구로구 구로동,실외,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-9-1 18:00,2018-9-1 18:10,이동|도보,야외,서울시 구로구 구로동,실외,혼자,/,/,/,예,긍정,매우 높음,보통,보통
2018-9-1 18:30,2018-9-1 19:30,청소,집,서울시 구로구 구로동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-9-1 19:30,2018-9-1 19:45,이동,야외,서울시 구로구 구로동,실외,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-9-1 19:45,2018-9-1 21:00,사교,식당,서울시 구로구 구로동,실내,친밀한 관계|친구,중식,많음,저녁,아니오,긍정,높음,보통,보통
2018-9-1 21:00,2018-9-1 21:20,이동,야외,서울시 구로구 구로동,실외,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-9-1 21:20,2018-9-1 22:00,수동적 여가|티비,집,서울시 구로구 구로동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-9-1 22:00,2018-9-1 23:00,수면,집,서울시 구로구 구로동,실내,혼자,/,/,/,아니오,부정,낮음,보통,보통
2018-9-1 23:00,2018-9-1 23:10,수동적 여가|여가,집,서울시 구로구 구로동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-9-1 23:10,2018-9-1 23:30,기타|술,집,서울시 구로구 구로동,실내,혼자,기타|안주,적음,야식,아니오,긍정,높음,보통,보통
2018-9-1 23:30,2018-9-1 24:00,수면,집,서울시 구로구 구로동,실내,혼자,/,/,/,아니오,보통,보통,보통,보통
