start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-01 00:00,2018-09-01 07:00,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-01 07:00,2018-09-01 07:10,기타|샤워,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,매우 낮음,보통,보통
2018-09-01 07:10,2018-09-01 07:20,기타|전화,집,서울시 서대문구 연희동,실내,혼자,/,/,/,예,긍정,매우 낮음,보통,보통
2018-09-01 07:20,2018-09-01 07:30,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,예,긍정,매우 낮음,낮음,보통
2018-09-01 07:30,2018-09-01 07:45,식사,상점|편의점,서울시 서대문구 연희동,실내,혼자,기타|컵라면,적음,아침,예,보통,매우 낮음,보통,보통
2018-09-01 07:45,2018-09-01 08:00,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-01 08:00,2018-09-01 08:30,이동,대중교통|지하철,서울시 영등포구 여의도동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-01 08:30,2018-09-01 09:30,능동적 여가|영화,기타|영화관,서울시 영등포구 여의도동,실내,친밀한 관계|순이,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-01 09:30,2018-09-01 09:40,식사,기타|영화관,서울시 영등포구 여의도동,실내,친밀한 관계|순이,기타|팝콘,매우 적음,간식,아니오,긍정,낮음,보통,보통
2018-09-01 09:40,2018-09-01 11:20,능동적 여가|영화,기타|영화관,서울시 영등포구 여의도동,실내,친밀한 관계|순이,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-01 11:20,2018-09-01 11:30,이동,야외,서울시 영등포구 여의도동,실외,친밀한 관계|순이,/,/,/,예,긍정,낮음,높음,보통
2018-09-01 11:30,2018-09-01 12:30,식사,식당,서울시 영등포구 여의도동,실내,친밀한 관계|순이,양식|파스타,많음,점심,예,보통,낮음,보통,보통
2018-09-01 12:30,2018-09-01 12:50,이동,대중교통|버스,서울시 영등포구 여의도동,실외,친밀한 관계|순이,/,/,/,아니오,긍정,낮음,높음,보통
2018-09-01 12:50,2018-09-01 14:00,야외활동|산책,공원|여의도한강공원,서울시 영등포구 여의도동,실외,친밀한 관계|순이,/,/,/,아니오,긍정,높음,높음,보통
2018-09-01 14:00,2018-09-01 14:15,이동,야외,서울시 영등포구 여의도동,실외,친밀한 관계|순이,/,/,/,아니오,긍정,높음,높음,보통
2018-09-01 14:15,2018-09-01 15:00,식사,카페,서울시 영등포구 여의도동,실내,친밀한 관계|순이,기타|커피,매우 적음,간식,아니오,긍정,높음,보통,보통
2018-09-01 15:00,2018-09-01 17:45,사교,카페,서울시 영등포구 여의도동,실내,친밀한 관계|순이,/,/,/,아니오,긍정,높음,보통,보통
2018-09-01 17:45,2018-09-01 18:00,이동,야외,서울시 영등포구 여의도동,실외,친밀한 관계|순이,/,/,/,아니오,긍정,높음,보통,보통
2018-09-01 18:00,2018-09-01 19:10,식사,식당,서울시 영등포구 여의도동,실내,친밀한 관계|순이,일식|덮밥,많음,저녁,예,긍정,높음,보통,보통
2018-09-01 19:10,2018-09-01 19:50,이동,대중교통|버스,서울시 용산구 용산동,실외,친밀한 관계|순이,/,/,/,아니오,긍정,높음,보통,보통
2018-09-01 19:50,2018-09-01 20:10,이동,야외,서울시 용산구 용산동,실외,친밀한 관계|순이,/,/,/,아니오,긍정,높음,보통,보통
2018-09-01 20:10,2018-09-01 20:40,이동,대중교통|버스,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-01 20:40,2018-09-01 20:50,기타|전화 통화,집,서울시 서대문구 연희동,실내,친밀한 관계|순이,/,/,/,아니오,긍정,높음,보통,보통
2018-09-01 20:50,2018-09-01 21:00,능동적 여가|팔굽혀펴기,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-01 21:00,2018-09-01 21:05,이동,야외,서울시 서대문구 홍은동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-01 21:05,2018-09-01 21:35,야외활동|조깅,야외,서울시 서대문구 홍은동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-01 21:35,2018-09-01 21:40,이동,야외,서울시 서대문구 연희동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-01 21:40,2018-09-01 21:50,기타|샤워,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-01 21:50,2018-09-01 22:10,수동적 여가|스마트폰,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-01 22:10,2018-09-01 23:59,수면,집,서울시 서대문구 연희동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
