start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-11-21 2:00,2018-11-21 7:40,수면,집,서울시 강북구 수유동,실내,혼자,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-11-21 7:40,2018-11-21 8:40,이동,대중교통|지하철,서울시 강남구 역삼동,실외,혼자,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-11-21 8:40,2018-11-21 9:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,낮음,보통
2018-11-21 9:00,2018-11-21 9:05,식사,회사,서울시 강남구 역삼동,실내,친밀한 사람,커피,매우 적음,간식,아니오,보통,높음,낮음,보통
2018-11-21 9:05,2018-11-21 10:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통
2018-11-21 10:00,2018-11-21 11:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,매우 높음,낮음,보통
2018-11-21 11:00,2018-11-21 12:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-11-21 12:00,2018-11-21 12:10,이동,야외,서울시 강남구 역삼동,실외,친밀한 사람,/,/,/,예,부정,높음,보통,보통
2018-11-21 12:10,2018-11-21 12:50,식사,식당|본죽,서울시 강남구 역삼동,실내,친밀한 사람,한식|소고기죽,적음,점심,예,보통,높음,보통,보통
2018-11-21 12:50,2018-11-21 13:00,이동,야외,서울시 강남구 역삼동,실외,친밀한 사람,/,/,/,아니오,보통,높음,보통,보통
2018-11-21 13:00,2018-11-21 13:05,식사,회사,서울시 강남구 역삼동,실내,친밀한 사람,커피,매우 적음,간식,아니오,보통,높음,보통,보통
2018-11-21 13:05,2018-11-21 14:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-11-21 14:00,2018-11-21 15:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-11-21 15:00,2018-11-21 16:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-11-21 16:00,2018-11-21 17:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-11-21 17:00,2018-11-21 17:10,식사,회사,서울시 강남구 역삼동,실내,친밀한 사람,커피,매우 적음,간식,아니오,부정,높음,보통,보통
2018-11-21 17:10,2018-11-21 18:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-11-21 18:00,2018-11-21 18:15,이동,야외,서울시 강남구 역삼동,실외,친밀한 사람,/,/,/,예,부정,높음,보통,보통
2018-11-21 18:15,2018-11-21 18:50,식사,식당|프리모바치오바치,서울시 강남구 역삼동,실내,친밀한 사람,양식|스파게티,적음,저녁,예,보통,매우 높음,보통,보통
2018-11-21 18:50,2018-11-21 19:00,이동,야외,서울시 강남구 역삼동,실외,친밀한 사람,/,/,/,아니오,보통,매우 높음,보통,보통
2018-11-21 19:00,2018-11-21 20:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-11-21 20:00,2018-11-21 20:20,식사,회사,서울시 강남구 역삼동,실내,친밀한 사람,커피,매우 적음,간식,아니오,보통,높음,보통,보통
2018-11-21 20:20,2018-11-21 20:30,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-11-21 20:30,2018-11-21 20:40,이동,야외,서울시 강남구 역삼동,실외,친밀한 사람,/,/,/,아니오,긍정,보통,보통,보통
2018-11-21 20:40,2018-11-21 21:00,식사,식당|봉우화로,서울시 강남구 역삼동,실내,친밀한 사람,한식|삼겹살,보통,야식,아니오,긍정,보통,보통,보통
2018-11-21 21:00,2018-11-21 22:00,식사,식당|봉우화로,서울시 강남구 역삼동,실내,친밀한 사람,술|소주,적음 ,야식,아니오,긍정,보통,낮음,보통
2018-11-21 22:00,2018-11-21 22:20,이동,야외,서울시 강남구 역삼동,실외,혼자,/,/,/,아니오,긍정,보통,낮음,보통
2018-11-21 22:20,2018-11-21 23:20,능동적 여가|노래부르기,유흥장|노래방,서울시 강남구 역삼동,실내,친밀한 사람,/,/,/,아니오,긍정,보통,낮음,보통
2018-11-21 23:20,2018-11-22 0:20,이동,대중교통|지하철,서울시 강남구 역삼동,실외,혼자,/,/,/,아니오,긍정,보통,낮음,보통
2018-11-22 0:20,2018-11-22 1:00,수동적 여가|TV 시청,집,서울시 강북구 수유동,실내,혼자,/,/,/,아니오,보통,보통,낮음,보통
2018-11-22 1:00,2018-11-22 2:00,수동적 여가|TV 시청,집,서울시 강북구 수유동,실내,혼자,/,/,/,아니오,보통,보통,낮음,보통
