start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-09 00:00,2018-09-09 08:00,수면,집,서울시 중랑구 면목동,실내,혼자,/,/,/,예,매우 긍정,매우 낮음,낮음,매우 낮음
2018-09-09 08:00,2018-09-09 08:30,능동적 여가|운동,집,서울시 중랑구 면목동,실내,혼자,/,/,/,예,매우 긍정,낮음,높음,매우 낮음
2018-09-09 08:30,2018-09-09 08:45,샤워,집,서울시 중랑구 면목동,실내,혼자,/,/,/,예,매우 긍정,낮음,높음,매우 낮음
2018-09-09 08:45,2018-09-09 09:25,이동,대중교통|버스,서울시 종로구 종로동,실외,혼자,/,/,/,예,매우 긍정,낮음,높음,매우 낮음
2018-09-09 09:25,2018-09-09 09:40,식사,식당|피자가게,서울시 종로구 종로동,실내,데면한 관계|중민,양식|하와이안피자,많음,아침,아니오,매우 긍정,낮음,높음,매우 낮음
2018-09-09 09:40,2018-09-09 10:10,이동,대중교통|버스,서울시 동작구 상도동,실외,혼자,/,/,/,아니오,매우 긍정,낮음,높음,매우 낮음
2018-09-09 10:10,2018-09-09 10:50,능동적 여가|대전게임,기타|PC방,서울시 동작구 상도동,실내,친밀한 관계|동서,/,/,/,예,매우 긍정,낮음,높음,매우 낮음
2018-09-09 10:50,2018-09-09 11:00,이동,야외,서울시 동작구 상도동,실외,혼자,/,/,/,예,매우 긍정,낮음,높음,매우 낮음
2018-09-09 11:00,2018-09-09 11:30,식사,식당|중식당,서울시 동작구 상도동,실내,데면한 관계|홍근,중식|짜장면,보통,점심,아니오,매우 긍정,낮음,높음,매우 낮음
2018-09-09 11:30,2018-09-09 12:30,이동,대중교통|지하철,서울시 중랑구 면목동,실외,혼자,/,/,/,아니오,매우 긍정,낮음,높음,매우 낮음
2018-09-09 12:30,2018-09-09 13:30,업무,집,서울시 중랑구 면목동,실내,데면한 관계|중민,/,/,/,예,매우 긍정,높음,높음,매우 낮음
2018-09-09 13:30,2018-09-09 13:40,이동,야외,서울시 중랑구 면목동,실외,혼자,/,/,/,예,매우 긍정,높음,높음,매우 낮음
2018-09-09 13:40,2018-09-09 14:10,식사,식당|한식당,서울시 중랑구 면목동,실내,데면한 관계|홍근,한식|볶음밥,많음,점심,아니오,매우 긍정,높음,높음,매우 낮음
2018-09-09 14:10,2018-09-09 14:20,이동,야외,서울시 중랑구 면목동,실외,혼자,/,/,/,아니오,매우 긍정,높음,높음,매우 낮음
