start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-23 00:00,2018-09-23 00:25,수동적 여가|집,집,경기도 남양주시 도농동,실내,친밀한 관계|가족,/,/,/,아니오,보통,매우 높음,보통 ,보통
2018-09-23 00:25,2018-09-23 01:25,수동적 여가|핸드폰,집,경기도 남양주시 도농동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통 ,보통
2018-09-23 01:25,2018-09-23 09:30,수면,집,경기도 남양주시 도농동,실내,혼자,/,/,/,예,보통,높음,보통 ,보통
2018-09-23 09:30,2018-09-23 09:50,기타|샤워,집,경기도 남양주시 도농동,실내,혼자,/,/,/,예,보통,높음,보통 ,높음
2018-09-23 09:50,2018-09-23 10:30,식사,집,경기도 남양주시 도농동,실내,친밀한 관계|가족,"한식|LA갈비, 잡채",매우 많음,아침,아니오,보통,높음,보통 ,보통
2018-09-23 10:30,2018-09-23 10:50,기타|외출준비,집,경기도 남양주시 도농동,실내,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 10:50,2018-09-23 12:00,이동,야외,경기도 남양주시 도농동,실외,친밀한 관계|형,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 12:00,2018-09-23 13:00,야외활동,공원,경기도 남양주시 도농동,실외,친밀한 관계|형,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 13:00,2018-09-23 13:10,이동,야외,경기도 남양주시 도농동,실외,친밀한 관계|형,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 13:10,2018-09-23 13:20,기타|외출준비,집,경기도 남양주시 도농동,실내,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 13:20,2018-09-23 13:40,이동,야외,경기도 남양주시 도농동,실외,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 13:40,2018-09-23 13:50,기타|흡연,야외,경기도 남양주시 도농동,실외,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 13:50,2018-09-23 14:30,공부|과제,카페|탐앤탐스,경기도 구리시 수택동,실내,혼자,기타|커피,적음,간식,아니오,보통,높음,보통 ,보통
2018-09-23 14:30,2018-09-23 14:30,기타|흡연,야외,경기도 구리시 수택동,실외,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 14:30,2018-09-23 15:00,사교,카페|탐앤탐스,경기도 구리시 수택동,실내,혼자,/,/,/,예,보통,높음,보통 ,보통
2018-09-23 15:00,2018-09-23 16:00,공부|과제,카페|탐앤탐스,경기도 구리시 수택동,실내,혼자,/,/,/,예,보통,높음,보통 ,보통
2018-09-23 16:00,2018-09-23 16:20,이동,야외,경기도 구리시 수택동,실외,혼자,/,/,/,예,보통,높음,보통 ,보통
2018-09-23 16:20,2018-09-23 16:50,식사,집,경기도 남양주시 도농동,실내,친밀한 관계|엄마,"한식|LA갈비, 잡채",많음,점심,아니오,보통,높음,보통 ,보통
2018-09-23 16:50,2018-09-23 17:00,기타|흡연,야외,경기도 남양주시 도농동,실외,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 17:00,2018-09-23 17:20,이동,야외,경기도 남양주시 도농동,실외,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 17:20,2018-09-23 18:20,공부|자소서 작성,카페|탐앤탐스,경기도 구리시 수택동,실내,혼자,기타|커피,적음,간식,아니오,보통,높음,보통 ,보통
2018-09-23 18:20,2018-09-23 18:30,기타|흡연,야외,경기도 구리시 수택동,실외,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 18:30,2018-09-23 19:30,공부|자소서 작성,카페|탐앤탐스,경기도 구리시 수택동,실내,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 19:30,2018-09-23 19:50,이동,야외,경기도 구리시 수택동,실외,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 19:50,2018-09-23 20:30,식사,집,경기도 남양주시 도농동,실내,친밀한 관계|가족,"한식|LA갈비, 잡채",많음,저녁,아니오,보통,높음,보통 ,보통
2018-09-23 20:30,2018-09-23 20:40,이동,야외,경기도 남양주시 도농동,실외,혼자,/,/,/,아니오,보통,높음,보통 ,보통
2018-09-23 20:40,2018-09-23 21:40,수동적 여가|게임,기타|PC방,경기도 남양주시 도농동,실내,친밀한 관계|동하,/,/,/,아니오,긍정,높음,보통 ,보통
2018-09-23 21:40,2018-09-23 21:50,기타|흡연,야외,경기도 남양주시 도농동,실외,친밀한 관계|동하,/,/,/,아니오,긍정,높음,보통 ,보통
2018-09-23 21:50,2018-09-23 22:50,수동적 여가|게임,기타|PC방,경기도 남양주시 도농동,실내,친밀한 관계|동하,/,/,/,아니오,긍정,높음,보통 ,보통
2018-09-23 22:50,2018-09-23 23:00,기타|흡연,야외,경기도 남양주시 도농동,실외,친밀한 관계|동하,/,/,/,아니오,긍정,높음,보통 ,보통
2018-09-23 23:00,2018-09-23 23:10,이동,야외,경기도 남양주시 도농동,실외,혼자,/,/,/,아니오,긍정,높음,보통 ,보통
2018-09-23 23:10,2018-09-23 23:30,기타|외출준비,집,경기도 남양주시 도농동,실내,친밀한 관계|가족,/,/,/,아니오,긍정,높음,보통 ,보통
2018-09-23 23:30,2018-09-23 23:59,이동,기타|차,경기도 남양주시 도농동,실외,친밀한 관계|형,/,/,/,아니오,긍정,매우 높음,보통 ,보통
