start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-12-05 0:00,2018-12-05 0:10,공부,집,경기도 하남시 망월동,실내,혼자,/,/,/,아니오,부정,높음,높음,낮음
2018-12-05 0:10,2018-12-05 0:50,능동적 여가|스마트폰,집,경기도 하남시 망월동,실내,혼자,/,/,/,아니오,보통,보통,높음,낮음
2018-12-05 0:50,2018-12-05 1:10,식사,집,경기도 하남시 망월동,실내,혼자,기타|커피,많음,간식,아니오,긍정,낮음,높음,낮음
2018-12-05 1:10,2018-12-05 1:55,공부,집,경기도 하남시 망월동,실내,혼자,/,/,/,아니오,보통,높음,높음,낮음
2018-12-05 1:55,2018-12-05 3:30,수동적 여가|스마트폰,집,경기도 하남시 망월동,실내,혼자,/,/,/,예,긍정,낮음,높음,낮음
2018-12-05 2:30,2018-12-05 3:50,공부,집,경기도 하남시 망월동,실내,혼자,/,/,/,예,부정,높음,높음,낮음
2018-12-05 3:50,2018-12-05 5:40,수면,집,경기도 하남시 망월동,실내,혼자,/,/,/,예,보통,보통,높음,낮음
2018-12-05 5:40,2018-12-05 7:10,공부,집,경기도 하남시 망월동,실내,혼자,/,/,/,예,부정,보통,높음,낮음
2018-12-05 7:10,2018-12-05 7:40,식사,집,경기도 하남시 망월동,실내,혼자,한식|돼지고기장조림,보통,아침,아니오,긍정,낮음,낮음,낮음
2018-12-05 7:40,2018-12-05 7:55,세면,집,경기도 하남시 망월동,실내,혼자,/,/,/,아니오,긍정,낮음,낮음,높음
2018-12-05 7:55,2018-12-05 8:10,기타|외출 준비,집,경기도 하남시 망월동,실내,혼자,/,/,/,아니오,보통,보통,보통,낮음
2018-12-05 8:10,2018-12-05 8:35,이동,대중교통|버스,경기도 하남시 망월동,실외,혼자,/,/,/,아니오,부정,높음,낮음,낮음
2018-12-05 8:35,2018-12-05 9:25,이동,대중교통|지하철,서울시 강동구 고덕동,실외,혼자,/,/,/,아니오,부정,높음,높음,낮음
2018-12-05 9:25,2018-12-05 9:35,이동,대중교통|버스,서울시 종로구 사직동,실외,혼자,/,/,/,아니오,부정,높음,높음,낮음
2018-12-05 9:35,2018-12-05 9:55,식사,학교|카페,서울시 서대문구 신촌동,실내,혼자,기타|커피,많음,간식,아니오,보통,낮음,낮음,낮음
2018-12-05 9:55,2018-12-05 12:00,수업,학교|공D408,서울시 서대문구 신촌동,실내,친밀한 사람|하윤,/,/,/,예,보통,보통,높음,낮음
2018-12-05 12:00,2018-12-05 13:00,공부,학교|공D라운지,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,부정,높음,높음,낮음
2018-12-05 13:00,2018-12-05 14:00,수업,학교|공D504,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,부정,높음,높음,낮음
2018-12-05 14:00,2018-12-05 14:30,식사,학교|한울샘,서울시 서대문구 신촌동,실내,혼자,기타|라면,보통,점심,아니오,긍정,보통,낮음,낮음
2018-12-05 14:30,2018-12-05 15:00,능동적 여가|스마트폰,학교|공D504,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,보통,높음,낮음
2018-12-05 15:00,2018-12-05 17:00,수업,학교|공D504,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,높음,높음,낮음
2018-12-05 17:00,2018-12-05 17:30,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,부정,높음,매우 낮음,낮음
2018-12-05 17:30,2018-12-05 18:40,이동,대중교통|지하철,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,부정,매우 높음,높음,보통
2018-12-05 18:40,2018-12-05 19:00,이동,대중교통|버스,서울시 송파구 잠실동,실외,혼자,/,/,/,아니오,부정,높음,높음,보통
2018-12-05 19:00,2018-12-05 19:10,이동,야외,경기도 하남시 망월동,실외,혼자,/,/,/,예,부정,높음,매우 낮음,낮음
2018-12-05 19:10,2018-12-05 19:15,수동적 여가|음악감상,집,경기도 하남시 망월동,실내,혼자,/,/,/,예,긍정,보통,보통,보통
2018-12-05 19:15,2018-12-05 19:25,기타|청소,집,경기도 하남시 망월동,실내,혼자,/,/,/,예,보통,보통,높음,낮음
2018-12-05 19:25,2018-12-05 20:00,식사,집,경기도 하남시 망월동,실내,혼자,양식|카레라이스,많음,저녁,아니오,긍정,낮음,높음,낮음
2018-12-05 20:00,2018-12-05 22:00,공부,집,경기도 하남시 망월동,실내,혼자,/,/,/,아니오,보통,보통,높음,낮음
2018-12-05 22:00,2018-12-05 22:30,식사,집,경기도 하남시 망월동,실내,혼자,기타|커피,많음,간식,아니오,긍정,낮음,높음,낮음
2018-12-05 22:30,2018-12-06 0:00,공부,집,경기도 하남시 망월동,실내,혼자,/,/,/,아니오,보통,보통,높음,
