start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-27 00:00,2018-09-27 07:01,취침,집,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 07:01,2018-09-27 07:04,기타|기상,집,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 07:04,2018-09-27 07:11,능동적 여가|스트레칭,집,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 07:11,2018-09-27 07:22,기타|샤워,집,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 07:22,2018-09-27 07:40,수동적 여가|티비 시청,집,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 07:40,2018-09-27 07:55,수동적 여가|뉴스 시청,집,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 07:55,2018-09-27 08:02,기타|출근 준비,집,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 08:02,2018-09-27 08:20,이동,/,/,/,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 08:20,2018-09-27 08:25,기타|회사 도착,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 08:25,2018-09-27 08:40,업무|업무 준비,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-27 08:40,2018-09-27 10:00,업무|업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,높음,보통,보통
2018-09-27 10:00,2018-09-27 10:05,이동,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,높음,보통,보통
2018-09-27 10:05,2018-09-27 10:20,식사|커피,회사,서울시 강남구 역삼동,실내,혼자,기타|커피,매우 적음,간식,아니오,매우 부정,높음,높음,보통
2018-09-27 10:20,2018-09-27 10:25,이동,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,높음,높음,보통
2018-09-27 10:25,2018-09-27 10:50,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,높음,높음,보통
2018-09-27 10:50,2018-09-27 10:55,이동,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,높음,높음,보통
2018-09-27 10:55,2018-09-27 11:30,업무|회의,회사,서울시 강남구 역삼동,실내,데면한 관계|동료,/,/,/,아니오,매우 부정,높음,높음,보통
2018-09-27 11:30,2018-09-27 11:35,이동,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,높음,높음,보통
2018-09-27 11:35,2018-09-27 12:00,업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,높음,높음,낮음
2018-09-27 12:10,2018-09-27 12:15,이동,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,높음,높음,낮음
2018-09-27 12:15,2018-09-27 12:45,수면|낮잠,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,높음,높음,낮음
2018-09-27 12:45,2018-09-27 12:50,이동,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,높음,낮음
2018-09-27 12:50,2018-09-27 14:30,업무|업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,매우 높음,높음,낮음
2018-09-27 14:30,2018-09-27 14:35,이동,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,아니오,부정,매우 높음,높음,낮음
2018-09-27 14:35,2018-09-27 15:30,업무|회의,회사,서울시 강남구 역삼동,실내,데면한 관계|동료,/,/,/,예,부정,매우 높음,높음,낮음
2018-09-27 15:30,2018-09-27 16:50,업무|업무,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,예,부정,매우 높음,높음,낮음
2018-09-27 16:50,2018-09-27 16:55,이동,회사,서울시 강남구 역삼동,실내,혼자,/,/,/,예,부정,매우 높음,높음,낮음
