start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-07 00:00,2018-09-07 00:05,기타|통화,집,서울시 노원구 중계동,실내,데면한 사람|지도교수,/,/,/,아니오,보통,높음,높음,보통
2018-09-07 00:05,2018-09-07 00:10,기타|휴식,집,서울시 노원구 중계동,실내,혼자,/,/,/,아니오,부정,높음,높음,보통
2018-09-07 00:10,2018-09-07 01:10,업무|논문 작성,집,서울시 노원구 중계동,실내,혼자,/,/,/,아니오,부정,높음,높음,보통
2018-09-07 01:10,2018-09-07 02:05,식사,집,서울시 노원구 중계동,실내,혼자,기타|배달음식,매우 많음,야식,아니오,보통,높음,높음,보통
2018-09-07 02:05,2018-09-07 02:20,수동적 여가|웹툰 감상,집,서울시 노원구 중계동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-09-07 02:20,2018-09-07 03:25,식사|음주,집,서울시 노원구 중계동,실내,혼자,기타|배달음식,매우 많음,야식,아니오,보통,높음,높음,보통
2018-09-07 03:25,2018-09-07 03:45,기타|흡연,야외,서울시 노원구 중계동,실외,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-09-07 03:45,2018-09-07 04:00,기타|샤워,집,서울시 노원구 중계동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-09-07 04:00,2018-09-07 04:25,수면|수면시도,집,서울시 노원구 중계동,실내,혼자,/,/,/,아니오,매우 부정,높음,높음,보통
2018-09-07 04:25,2018-09-07 05:30,수동적 여가|게임,집,서울시 노원구 중계동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-09-07 05:30,2018-09-07 07:15,수면,집,서울시 노원구 중계동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-09-07 07:15,2018-09-07 07:30,기타|기상,집,서울시 노원구 중계동,실내,혼자,/,/,/,아니오,부정,높음,높음,보통
2018-09-07 07:30,2018-09-07 07:35,기타|가방 챙기기,집,서울시 노원구 중계동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-09-07 07:35,2018-09-07 07:50,이동,대중교통|버스,서울시 노원구 상계동,실외,혼자,/,/,/,아니오,보통,높음,높음,보통
