start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-19 0:00,2018-09-19 6:00,수면,집,고양시 일산구 마두동,실내,친밀한 관계|현아,/,/,/,예,긍정,낮음,보통,보통
2018-09-19 6:00,2018-09-19 6:10,기타|담배,야외,고양시 일산구 마두동,실외,혼자,/,/,/,예,긍정,매우 낮음,낮음,보통
2018-09-19 6:10,2018-09-19 6:30,식사,집,고양시 일산구 마두동,실내,친밀한 관계|현아,한식|고등어조림,매우 많음,아침,예,긍정,낮음,낮음,보통
2018-09-19 6:30,2018-09-19 6:45,기타|샤워,집,고양시 일산구 마두동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통
2018-09-19 6:45,2018-09-19 7:05,식사,집,고양시 일산구 마두동,실내,친밀한 관계|현아,기타|커피,적음,간식,아니오,긍정,낮음,보통,낮음
2018-09-19 7:05,2018-09-19 7:55,이동,야외,서울시 종로구 사직동,실외,혼자,/,/,/,아니오,긍정,낮음,보통,낮음
2018-09-19 7:55,2018-09-19 8:30,업무|보고,사무실|현대해상,서울시 종로구 사직동,실내,혼자,/,/,/,아니오,보통,낮음,낮음,보통
2018-09-19 8:30,2018-09-19 8:55,업무|회의,사무실|현대해상,서울시 종로구 사직동,실내,혼자,/,/,/,아니오,긍정,낮음,낮음,낮음
2018-09-19 8:55,2018-09-19 9:30,업무|행정,사무실|현대해상,서울시 종로구 사직동,실내,혼자,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-19 9:30,2018-09-19 10:15,업무|고객상담,사무실|현대해상,서울시 종로구 사직동,실내,혼자,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-19 10:15,2018-09-19 10:20,기타|담배,야외,서울시 종로구 사직동,실내,혼자,/,/,/,아니오,부정,낮음,보통,낮음
2018-09-19 10:20,2018-09-19 10:55,이동,야외,서울시 용산구 이촌동,실외,혼자,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-19 10:55,2018-09-19 11:20,업무|고객상담,카페|스타벅스,서울시 용산구 이촌동,실내,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-19 11:20,2018-09-19 11:55,이동,야외,서울시 종로구 사직동,실외,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-19 11:55,2018-09-19 12:05,기타|담배,야외,서울시 종로구 사직동,실외,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-19 12:05,2018-09-19 12:10,이동,야외,서울시 종로구 사직동,실외,친밀한 관계|준호,/,/,/,예,보통,높음,보통,보통
2018-09-19 12:10,2018-09-19 12:50,식사,식당,서울시 종로구 사직동,실내,친밀한 관계|준호,한식|냉면,매우 많음,점심,예,보통,낮음,보통,낮음
2018-09-19 12:50,2018-09-19 12:55,기타|담배,야외,서울시 종로구 사직동,실외,친밀한 관계|준호,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-19 12:55,2018-09-19 13:05,이동,야외,서울시 종로구 사직동,실외,친밀한 관계|준호,/,/,/,아니오,보통,낮음,보통,보통
2018-09-19 13:05,2018-09-19 13:50,업무|행정,사무실|현대해상,서울시 종로구 사직동,실내,혼자,/,/,/,아니오,보통,낮음,보통,낮음
2018-09-19 13:50,2018-09-19 14:00,이동,야외,서울시 종로구 사직동,실외,친밀한 관계|준호,/,/,/,아니오,부정,낮음,보통,보통
2018-09-19 14:00,2018-09-19 14:50,야외 활동|한마음 걷기대회,야외,서울시 종로구 사직동,실외,친밀한 관계|준호,/,/,/,예,부정,높음,높음,보통
2018-09-19 14:50,2018-09-19 15:00,기타|담배,야외,서울시 종로구 사직동,실외,친밀한 관계|준호,/,/,/,예,부정,높음,보통,보통
2018-09-19 15:00,2018-09-19 15:30,식사,야외,서울시 종로구 사직동,실외,친밀한 관계|준호,한식|떡볶이,많음,간식,예,보통,높음,보통,보통
2018-09-19 15:30,2018-09-19 16:30,야외 활동|한마음 걷기대회,야외,서울시 종로구 사직동,실외,친밀한 관계|준호,/,/,/,아니오,부정,높음,보통,보통
2018-09-19 16:30,2018-09-19 17:00,이동,야외,서울시 종로구 사직동,실외,친밀한 관계|준호,/,/,/,아니오,보통,높음,보통,낮음
2018-09-19 17:00,2018-09-19 17:20,업무|행정,사무실|현대해상,서울시 종로구 사직동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-19 17:20,2018-09-19 17:30,기타|담배,야외,서울시 종로구 사직동,실외,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-19 17:30,2018-09-19 18:00,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-19 18:00,2018-09-19 18:50,공부|중국어,기타|학원,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,부정,낮음,낮음,보통
2018-09-19 18:50,2018-09-19 19:00,기타|담배,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,보통,낮음,낮음,낮음
2018-09-19 19:00,2018-09-19 19:50,공부|중국어,기타|학원,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,보통,높음,보통,낮음
2018-09-19 19:50,2018-09-19 20:00,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,긍정,높음,낮음,낮음
2018-09-19 20:00,2018-09-19 21:00,식사,식당,서울시 서대문구 신촌동,실내,친밀한 관계|현아,양식|파스타,매우 많음,저녁,아니오,긍정,높음,보통,낮음
2018-09-19 21:00,2018-09-19 22:00,이동,야외,고양시 일산구 마두동,실외,친밀한 관계|현아,/,/,/,아니오,보통,높음,보통,낮음
2018-09-19 22:00,2018-09-19 22:20,기타|샤워,집,고양시 일산구 마두동,실내,혼자,/,/,/,아니오,긍정,높음,보통,높음
2018-09-19 22:20,2018-09-19 23:20,수동적 여가|TV 시청,집,고양시 일산구 마두동,실내,친밀한 관계|현아,/,/,/,아니오,보통,높음,보통,보통
2018-09-19 23:20,2018-09-19 12:00,수면,집,고양시 일산구 마두동,실내,친밀한 관계|현아,/,/,/,아니오,보통,높음,보통,보통
