start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-12-25 0:00,2018-12-25 1:30,사교,기타|포차,서울시 강남구 논현동,실내,데면한 관계|최대표,기타|소주,적음,기타,아니오,긍정,매우 높음,보통,낮음
2018-12-25 1:30,2018-12-25 1:40,이동,야외,서울시 강남구 논현동,실외,데면한 관계|최대표,/,/,/,아니오,보통,매우 높음,매우 낮음,보통
2018-12-25 1:40,2018-12-25 1:50,기타,상점|CU,서울시 강남구 논현동,실내,데면한 관계|최대표,/,/,/,아니오,보통,매우 높음,보통,낮음
2018-12-25 1:50,2018-12-25 2:00,이동,야외,서울시 강남구 논현동,실외,데면한 관계|최대표,/,/,/,아니오,보통,매우 높음,매우 낮음,보통
2018-12-25 2:00,2018-12-25 2:20,사교,기타|모텔,서울시 강남구 논현동,실내,데면한 관계|최대표,기타|맥주,적음,기타,아니오,보통,매우 높음,높음,낮음
2018-12-25 2:20,2018-12-25 6:00,수면,기타|모텔,서울시 강남구 논현동,실내,데면한 관계|최대표,/,/,/,아니오,부정,높음,높음,낮음
2018-12-25 6:00,2018-12-25 7:30,수동적 여가|SNS,기타|모텔,서울시 강남구 논현동,실내,데면한 관계|최대표,/,/,/,아니오,부정,높음,높음,낮음
2018-12-25 7:30,2018-12-25 7:40,기타|흡연,기타|모텔,서울시 강남구 논현동,실내,데면한 관계|최대표,/,/,/,아니오,부정,높음,높음,낮음
2018-12-25 7:40,2018-12-25 9:00,수동적 여가|음악,기타|모텔,서울시 강남구 논현동,실내,데면한 관계|최대표,/,/,/,예,부정,높음,높음,낮음
2018-12-25 9:00,2018-12-25 9:10,이동,야외,서울시 강남구 논현동,실외,데면한 관계|최대표,/,/,/,예,부정,높음,매우 낮음,높음
2018-12-25 9:10,2018-12-25 9:40,식사,식당,서울시 강남구 논현동,실내,데면한 관계|최대표,한식|뼈해장국,적음,기타,아니오,매우 부정,높음,높음,낮음
2018-12-25 9:40,2018-12-25 11:00,이동,대중교통|택시,서울시 강남구 논현동,실외,혼자,/,/,/,아니오,매우 부정,매우 높음,보통,보통
2018-12-25 11:00,2018-12-25 12:00,기타|샤워,집,안양시 동안구 비산동,실내,혼자,/,/,/,아니오,매우 부정,매우 높음,높음,매우 높음
2018-12-25 12:00,2018-12-25 14:00,수면,집,안양시 동안구 비산동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-12-25 14:00,2018-12-25 16:00,기타|통화,집,안양시 동안구 비산동,실내,친밀한 관계|건호,/,/,/,아니오,매우 부정,낮음,보통,보통
2018-12-25 16:00,2018-12-25 17:00,업무,집,안양시 동안구 비산동,실내,혼자,/,/,/,아니오,부정,낮음,보통,보통
2018-12-25 17:00,2018-12-25 17:10,기타|흡연,집,안양시 동안구 비산동,실내,혼자,/,/,/,아니오,부정,낮음,보통,보통
2018-12-25 17:10,2018-12-25 18:00,업무,집,안양시 동안구 비산동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-12-25 18:00,2018-12-25 18:30,기타|통화,집,안양시 동안구 비산동,실내,친밀한 관계|건호,/,/,/,아니오,보통,높음,보통,보통
2018-12-25 18:30,2018-12-25 19:30,업무,집,안양시 동안구 비산동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-12-25 19:30,2018-12-25 20:00,사교,야외,안양시 동안구 비산동,실외,친밀한 관계|건호,/,/,/,아니오,매우 부정,높음,낮음,보통
2018-12-25 20:00,2018-12-25 21:00,수동적 여가,집,안양시 동안구 비산동,실내,혼자,/,/,/,아니오,매우 부정,높음,보통,보통
2018-12-25 21:00,2018-12-25 21:30,수동적 여가|음악,집,안양시 동안구 비산동,실내,혼자,/,/,/,아니오,매우 부정,높음,보통,보통
2018-12-25 21:30,2018-12-25 21:40,기타|흡연,집,안양시 동안구 비산동,실내,혼자,/,/,/,예,매우 부정,높음,보통,보통
2018-12-25 21:40,2018-12-25 22:30,수동적 여가|SNS,집,안양시 동안구 비산동,실내,혼자,/,/,/,예,매우 부정,높음,보통,보통
2018-12-25 22:30,2018-12-25 22:50,기타|통화,집,안양시 동안구 비산동,실내,친밀한 관계|유연,/,/,/,예,매우 부정,매우 높음,보통,보통
2018-12-25 22:50,2018-12-25 23:20,수동적 여가|SNS,집,안양시 동안구 비산동,실내,혼자,/,/,/,예,매우 부정,매우 높음,보통,보통
2018-12-25 23:20,2018-12-25 23:30,기타|흡연,집,안양시 동안구 비산동,실내,혼자,/,/,/,예,매우 부정,매우 높음,보통,보통
2018-12-25 23:30,2018-12-25 23:50,기타|통화,집,안양시 동안구 비산동,실내,친밀한 관계|혜윤,/,/,/,예,매우 부정,매우 높음,보통,보통
2018-12-25 23:50,2018-12-25 23:59,수면,집,안양시 동안구 비산동,실내,혼자,/,/,/,예,매우 부정,매우 높음,보통,보통
