start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-19 23:40,2018-09-20 6:00,수면,집,서울시 양천구 목동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,보통,보통
2018-09-20 6:00,2018-09-20 6:30,식사,집,서울시 양천구 목동,실내,혼자,기타|아보카도 토스트,적음,아침,아니오,긍정,매우 낮음,보통,보통
2018-09-20 6:30,2018-09-20 7:00,기타|빨래 개기,집,서울시 양천구 목동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,보통,보통
2018-09-20 7:00,2018-09-20 7:10,이동,야외,서울시 양천구 목동,실외,혼자,/,/,/,아니오,긍정,매우 낮음,높음,보통
2018-09-20 7:10,2018-09-20 8:00,능동적 여가|헬스,기타|헬스장,서울시 양천구 목동,실내,혼자,/,/,/,예,긍정,낮음,높음,보통
2018-09-20 8:10,2018-09-20 8:20,기타|샤워,기타|헬스장,서울시 양천구 목동,실내,혼자,/,/,/,예,긍정,낮음,높음,보통
2018-09-20 8:20,2018-09-20 8:30,이동,기타|자동차,서울시 양천구 목동,실외,혼자,/,/,/,예,긍정,낮음,높음,보통
2018-09-20 8:30,2018-09-20 8:40,기타|커피 간식 구매,카페|스타벅스,서울시 양천구 목동,실내,혼자,간식|바나나쉐이크,적음,간식,예,긍정,낮음,높음,보통
2018-09-20 8:40,2018-09-20 8:50,이동,기타|자동차,서울시 양천구 목동,실내,혼자,/,/,/,아니오,긍정,낮음,높음,보통
2018-09-20 8:50,2018-09-20 9:00,사교|커피 타임,학교|교무실,서울시 양천구 목동,실내,친밀한 관계|동료 선생님들,/,/,/,아니오,매우 긍정,낮음,보통,보통
2018-09-20 9:00,2018-09-20 10:30,업무|행정,학교|교무실,서울시 양천구 목동,실내,친밀한 관계|동료 선생님들,/,/,/,아니오,긍정,보통,보통,보통
2018-09-20 10:30,2018-09-20 10:35,이동,학교|복도,서울시 양천구 목동,실내,혼자,/,/,/,아니오,긍정,보통,높음,보통
2018-09-20 10:35,2018-09-20 11:30,업무|수업,학교|체육관,서울시 양천구 목동,실내,친밀한 관계|학생들,/,/,/,예,긍정,보통,높음,보통
2018-09-20 11:30,2018-09-20 11:35,기타|휴식,학교|체육관,서울시 양천구 목동,실내,친밀한 관계|학생들,/,/,/,예,매우 긍정,보통,높음,보통
2018-09-20 11:35,2018-09-20 12:20,업무|수업,학교|체육관,서울시 양천구 목동,실내,친밀한 관계|학생들,/,/,/,예,매우 긍정,보통,높음,보통
2018-09-20 12:20,2018-09-20 12:25,이동,야외,서울시 양천구 목동,실외,혼자,/,/,/,예,매우 긍정,보통,높음,보통
2018-09-20 12:25,2018-09-20 12:55,식사,학교|급식실,서울시 양천구 목동,실내,친밀한 관계|동료 선생님,한식|부대찌개,많음,점심,예,매우 긍정,보통,높음,보통
2018-09-20 12:55,2018-09-20 13:00,이동,야외,서울시 양천구 목동,실외,친밀한 관계|동료 선생님,/,/,/,아니오,매우 긍정,보통,높음,보통
2018-09-20 13:00,2018-09-20 13:25,능동적 여가|탁구,학교|탁구장,서울시 양천구 목동,실내,친밀한 관계|동료 선생님,/,/,/,아니오,매우 긍정,보통,높음,보통
2018-09-20 13:25,2018-09-20 13:30,이동,야외,서울시 양천구 목동,실외,혼자,/,/,/,아니오,매우 긍정,보통,높음,보통
2018-09-20 13:30,2018-09-20 14:30,업무|행정,학교|교무실,서울시 양천구 목동,실내,친밀한 관계|동료 선생님들,/,/,/,아니오,부정,높음,보통,보통
2018-09-20 14:30,2018-09-20 15:30,업무|회의 준비,학교|교무실,서울시 양천구 목동,실내,친밀한 관계|동료 선생님들,/,/,/,아니오,부정,높음,보통,보통
2018-09-20 15:30,2018-09-20 15:35,이동,학교|복도,서울시 양천구 목동,실내,친밀한 관계|동료 선생님,/,/,/,아니오,부정,높음,보통,보통
2018-09-20 15:35,2018-09-20 15:55,업무|회의,학교|회의실,서울시 양천구 목동,실내,친밀한 관계|동료 선생님,/,/,/,아니오,부정,높음,보통,보통
2018-09-20 15:55,2018-09-20 16:00,이동,학교|복도,서울시 양천구 목동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-20 16:00,2018-09-20 17:00,업무|행정,학교|교무실,서울시 양천구 목동,실내,친밀한 관계|동료 선생님들,/,/,/,예,부정,높음,보통,보통
2018-09-20 17:00,2018-09-20 17:05,이동,학교|복도,서울시 양천구 목동,실내,혼자,/,/,/,예,부정,높음,보통,보통
2018-09-20 17:05,2018-09-20 18:30,업무|방과후 학교,학교|체육관,서울시 양천구 목동,실내,데면한 관계|학생들,/,/,/,예,보통,높음,보통,보통
2018-09-20 18:30,2018-09-20 18:40,업무|뒷정리,학교|교무실,서울시 양천구 목동,실내,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-20 18:40,2018-09-20 19:20,이동,기타|자동차,서울시 종로구 사직동,실외,혼자,/,/,/,예,보통,높음,보통,보통
2018-09-20 19:20,2018-09-20 20:00,식사,식당|토속촌 삼계탕,서울시 종로구 사직동,실내,친밀한 관계|여자친구,한식|삼계탕,많음,저녁,아니오,긍정,높음,보통,보통
2018-09-20 20:00,2018-09-20 20:20,능동적 여가|드라이브,기타|자동차,서울시 종로구 삼청동,실외,친밀한 관계|여자친구,/,/,/,아니오,긍정,높음,보통,보통
2018-09-20 20:20,2018-09-20 21:00,기타|야경감상,야외,서울시 종로구 삼청동,실외,친밀한 관계|여자친구,/,/,/,아니오,매우 긍정,높음,보통,보통
2018-09-20 21:00,2018-09-20 21:40,이동,기타|자동차,서울시 양천구 목동,실외,친밀한 관계|여자친구,/,/,/,아니오,매우 긍정,매우 높음,보통,보통
2018-09-20 21:40,2018-09-20 21:50,기타|샤워,집,서울시 양천구 목동,실내,혼자,/,/,/,아니오,긍정,매우 높음,보통,보통
2018-09-20 21:50,2018-09-20 23:40,수면,집,서울시 양천구 목동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-20 23:40,2018-09-20 23:55,식사,집,서울시 양천구 목동,실내,혼자,양식|햄버거,적음,야식,예,긍정,보통,보통,보통
2018-09-20 23:55,2018-09-21 5:55,수면,집,서울시 양천구 목동,실내,혼자,/,/,/,아니오,긍정,매우 낮음,보통,보통
