start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-18 0:00,2018-09-18 2:30,수동적 여가|TV시청,집,수원시 영통구 영통동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 2:30,2018-09-18 3:00,공부,집,수원시 영통구 영통동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 3:00,2018-09-18 3:30,공부,집,수원시 영통구 영통동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-18 3:30,2018-09-18 8:30,수면,집,수원시 영통구 영통동,실내,혼자,/,/,/,아니오,부정,매우 높음,보통,보통
2018-09-18 8:30,2018-09-18 10:00,이동,대중교통|지하철,수원시 영통구 영통동,실외,혼자,/,/,/,아니오,매우 부정,높음,보통,보통
2018-09-18 10:00,2018-09-18 10:50,기타|수업,학교|대강당,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-18 10:50,2018-09-18 10:55,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-09-18 10:55,2018-09-18 13:00,기타|수업,학교|공D505,서울시 서대문구 신촌동,실내,친밀한 사람|영희,/,/,/,예,부정,높음,보통,보통
2018-09-18 13:00,2018-09-18 13:05,이동,야외,서울시 서대문구 신촌동,실외,친밀한 사람|영희,/,/,/,예,보통,높음,보통,보통
2018-09-18 13:05,2018-09-18 13:45,식사,식당|학생회관,서울시 서대문구 신촌동,실내,친밀한 사람|영희,한식|비빔밥,많음,점심,예,보통,높음,보통,보통
2018-09-18 13:45,2018-09-18 13:50,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-18 13:50,2018-09-18 14:00,수면,학교|공C040,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-18 14:00,2018-09-18 15:55,기타|수업,학교|공C040,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 15:55,2018-09-18 16:00,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 16:00,2018-09-18 17:00,기타|수업,학교|공A141,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 17:00,2018-09-18 17:05,이동,야외,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 17:05,2018-09-18 18:30,공부,학교|도서관,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-18 18:30,2018-09-18 18:50,이동,야외,서울시 서대문구 신촌동,실외,친밀한 사람|진용,/,/,/,예,보통,낮음,보통,보통
2018-09-18 18:50,2018-09-18 19:30,식사,식당|패스트푸드점,서울시 서대문구 신촌동,실내,친밀한 사람|진용,양식|햄버거,많음,저녁,아니오,보통,낮음,보통,보통
2018-09-18 19:30,2018-09-18 19:35,이동,야외,서울시 서대문구 신촌동,실외,친밀한 사람|진용,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 19:35,2018-09-18 21:00,수동적 여가|게임,상점|피시방,서울시 서대문구 신촌동,실내,친밀한 사람|진용,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 21:00,2018-09-18 22:30,이동,대중교통|지하철,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 22:30,2018-09-18 22:50,식사,상점|편의점,수원시 영통구 영통동,실내,혼자,기타|라면,많음,저녁,아니오,보통,낮음,보통,보통
2018-09-18 22:50,2018-09-18 22:55,이동,야외,수원시 영통구 영통동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 22:55,2018-09-18 22:55,기타|체중측정,집,수원시 영통구 영통동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 22:55,2018-09-18 23:00,이동,야외,수원시 영통구 영통동,실외,혼자,/,/,/,아니오,매우 부정,낮음,보통,보통
2018-09-18 23:00,2018-09-18 23:40,능동적 여가|운동,공원,수원시 영통구 영통동,실외,혼자,/,/,/,아니오,부정,낮음,보통,보통
2018-09-18 23:40,2018-09-18 23:45,이동,야외,수원시 영통구 영통동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-18 23:45,2018-09-18 23:59,수동적 여가|스마트폰,집,수원시 영통구 영통동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
