start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-09-10 0:00,2018-09-10 3:00,공부,집,서울시 은평구 갈현동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-10 3:00,2018-09-10 3:40,기타|회화작업,집,서울시 은평구 갈현동,실내,혼자,/,/,/,아니오,매우 긍정,높음,보통,보통
2018-09-10 3:40,2018-09-10 4:00,수동적 여가|TV시청,집,서울시 은평구 갈현동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-10 4:00,2018-09-10 8:00,수면,집,서울시 은평구 갈현동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-10 8:00,2018-09-10 8:05,기타|기상,집,서울시 은평구 갈현동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-10 8:05,2018-09-10 8:15,기타|샤워,집,서울시 은평구 갈현동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-10 8:15,2018-09-10 8:25,기타|외출준비,집,서울시 은평구 갈현동,실내,혼자,/,/,/,예,보통,낮음,보통,보통
2018-09-10 8:25,2018-09-10 8:45,식사,집,서울시 은평구 갈현동,실내,친밀한 관계|가족,한식|미역국,적음,아침,예,보통,낮음,보통,보통
2018-09-10 8:45,2018-09-10 9:30,이동,대중교통|지하철,서울시 은평구 갈현동,실외,혼자,/,/,/,아니오,보통,낮음,높음,보통
2018-09-10 9:30,2018-09-10 11:30,공부,학교|학술정보원,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-10 11:30,2018-09-10 11:50,수동적 여가|휴식,학교|학술정보원,서울시 서대문구 신촌동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-10 11:50,2018-09-10 12:00,이동,기타|도보,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,낮음,높음,보통
2018-09-10 12:00,2018-09-10 15:00,공부|강의수강,학교|공D405,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,긍정,높음,보통,보통
2018-09-10 15:00,2018-09-10 15:10,이동,기타|도보,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,보통,높음,높음,보통
2018-09-10 15:10,2018-09-10 15:35,식사,학교|학생회관,서울시 서대문구 신촌동,실내,혼자,한식|육개장,많음,점심,예,보통,높음,보통,보통
2018-09-10 15:35,2018-09-10 16:00,사교,학교|학생회관,서울시 서대문구 신촌동,실내,친밀한 관계|원희,기타|커피,매우 적음,기타,아니오,긍정,낮음,보통,보통
2018-09-10 16:00,2018-09-10 16:15,능동적 여가|산책,기타|도보,서울시 서대문구 신촌동,실외,친밀한 관계|원희,/,/,/,아니오,긍정,낮음,높음,보통
2018-09-10 16:15,2018-09-10 16:20,이동,기타|도보,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,낮음,높음,보통
2018-09-10 16:20,2018-09-10 17:50,사교|독서모임,학교|학생회관,서울시 서대문구 신촌동,실내,친밀한 관계|독서모임 사람들,/,/,/,아니오,긍정,높음,보통,보통
2018-09-10 17:50,2018-09-10 18:30,수동적 여가|휴식,학교|중앙도서관,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,긍정,낮음,보통,보통
2018-09-10 18:30,2018-09-10 18:35,이동,기타|도보,서울시 서대문구 신촌동,실외,혼자,/,/,/,예,보통,낮음,높음,보통
2018-09-10 18:35,2018-09-10 19:00,식사,학교|학생회관,서울시 서대문구 신촌동,실내,혼자,양식|돈가스,많음,저녁,예,긍정,낮음,보통,보통
2018-09-10 19:00,2018-09-10 19:05,이동,기타|도보,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,낮음,보통,보통
2018-09-10 19:05,2018-09-10 20:40,공부,학교|학술정보원,서울시 서대문구 신촌동,실내,혼자,/,/,/,예,긍정,높음,보통,보통
2018-09-10 20:40,2018-09-10 21:00,식사,학교|학술정보원,서울시 서대문구 신촌동,실내,혼자,기타|초콜릿,적음,간식,예,긍정,높음,보통,보통
2018-09-10 21:00,2018-09-10 21:50,이동,대중교통|지하철,서울시 서대문구 신촌동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-09-10 21:50,2018-09-10 22:05,기타|샤워,집,서울시 은평구 갈현동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-10 22:05,2018-09-10 22:45,사교,집,서울시 은평구 갈현동,실내,친밀한 관계|가족,/,/,/,아니오,긍정,높음,보통,보통
2018-09-10 22:45,2018-09-10 23:05,기타|일기,집,서울시 은평구 갈현동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
2018-09-10 23:05,2018-09-11 0:00,공부,집,서울시 은평구 갈현동,실내,혼자,/,/,/,아니오,긍정,높음,보통,보통
